Attribute,Weight
TB,7056
PassLive,6889
SCA,6724
SCA90,6561
KP,6400
Unnamed: 0,6241
Att 3rd_stats_possession,6084
1/3_stats_possession,5929
PPA,5776
Fld_stats_misc,5625
Off,5476
Succ,5329
PrgP,5184
GCA,5041
Att 3rd,4900
Starts,4761
xA,4624
90s_stats_possession,4489
90s,4356
Ast,4225
Tkld,4096
Pass,3969
A-xAG,3844
G-xG,3721
FK,3600
xAG,3481
MP_stats_playing_time,3364
onxGA,3249
PrgC,3136
Mn/MP,3025
onG,2916
onxG,2809
onGA,2704
GCA90,2601
Mid 3rd,2500
Carries,2401
npxG+xAG,2304
G+A,2209
PrgR,2116
Won%,2025
CK,1936
xG+/-90,1849
Blocks_stats_defense,1764
In,1681
Att,1600
+/-90,1521
PassDead,1444
Crs,1369
Sh/90,1296
Tkl+Int,1225
SoT/90,1156
Cmp,1089
1/3,1024
Tkl%,961
Gls,900
G/SoT,841
TotDist,784
npxG,729
xG,676
Def 3rd,625
+/-,576
Int_stats_misc,529
FK_stats_passing_types,484
PKwon,441
xG+/-,400
Dead,361
PrgDist,324
Def 3rd_stats_possession,289
G/Sh,256
Out,225
CrsPA,196
Sh_stats_defense,169
Sw,144
CPA,121
PK,100
npxG/Sh,81
PKcon,64
TI,49
Str,36
SoT%,25
Cmp%,16
Succ%,9
Tkld%,4
OG,1
