Player,Position,TB,PassLive,SCA,SCA90,KP,Unnamed: 0,Att 3rd_stats_possession,1/3_stats_possession,PPA,Fld_stats_misc,Off,Succ,PrgP,GCA,Att 3rd,Starts,xA,90s_stats_possession,90s,Ast,Tkld,Pass,A-xAG,G-xG,FK,xAG,MP_stats_playing_time,onxGA,PrgC,Mn/MP,onG,onxG,onGA,GCA90,Mid 3rd,Carries,npxG+xAG,G+A,PrgR,Won%,CK,xG+/-90,Blocks_stats_defense,In,Att,+/-90,PassDead,Crs,Sh/90,Tkl+Int,SoT/90,Cmp,1/3,Tkl%,Gls,G/SoT,TotDist,npxG,xG,Def 3rd,+/-,Int_stats_misc,FK_stats_passing_types,PKwon,xG+/-,Dead,PrgDist,Def 3rd_stats_possession,G/Sh,Out,CrsPA,Sh_stats_defense,Sw,CPA,PK,npxG/Sh,PKcon,TI,Str,SoT%,Cmp%,Succ%,Tkld%,OG,Total Score
Adam Lallana,Attacking Midfield,-4922.001216000649,-7151.554880241512,-7465.86198052646,-5935.758189361319,-6624.639321228527,-9794.1824207378,-6455.42499864844,-5364.732791927207,-3092.3458946403093,-4406.658524351148,-3660.1571323500284,-4251.923667811995,-4030.5169274372465,-3322.430710611912,-5171.803226860487,-5071.124064080681,-4003.662404521893,-5601.27383319302,-5435.31940685872,-199.71302486149423,-3391.861546235857,-3885.6817520990867,3339.0781160593187,-611.8929116263773,-1896.6963334351028,-2312.521108247221,-3187.4476469299707,-3141.7227738521333,-3032.178606106154,-4755.395964368496,-3563.5219515114873,-3394.583978218369,-2389.1346687515484,1869.7150103691536,-1959.2282997884708,-2067.113933025998,-2275.9432728366223,-1454.489651788901,-2598.6752000493198,1589.2719664421422,-1410.8450633139114,-2488.811902150447,-1670.7392502374364,-1142.476819447967,-1245.2434835827034,-1990.6590147190318,-975.6402515643194,-1186.8333984825588,-1727.5297980485716,-958.814554845851,-1786.4781389184325,-757.0966438291492,-602.1081614583126,-1446.6122724501693,-864.4371122331713,-209.5279930274538,-621.5206999335359,-807.5986667801927,-700.0145560483958,-352.18727348179243,-253.24433892354338,-242.512802101092,-267.3320690358265,-202.73403213634245,-155.05086913175398,-300.8688922889308,-193.47211739746035,-34.69032382203924,-257.166407568549,-120.80382875013483,-4.589032006674562,-49.487672608602246,-96.47526300380628,-111.21514499340392,-34.96368521750722,-74.00482454847676,-17.31638933227552,-31.150299808691376,-7.233502490055589,,,,,,-166480.59567196993
Adrian Beck,Attacking Midfield,-6198.797571042402,-1182.5234859622653,-332.75721955344864,1538.7040436632694,-2320.7144962103544,-9682.575970574637,-1952.994024400957,-4353.05333548412,-427.2319986016211,-4772.020718458743,-3660.1571323500284,3830.755203555539,-1365.4148783494456,-2092.9436397357526,-358.25990381449213,-1023.9345368726874,-909.9620230413007,-574.2436349664479,-557.2299563185223,-2068.4563289226194,474.1523391199779,5549.014187904962,46.22122916991331,-1094.3861169527845,-1896.6963334351028,-2124.1393811848507,2791.8694186713583,-229.7014292203216,-1415.9657215368957,-2135.98789792065,-146.0887476461519,-96.20430625748945,540.0923585226683,-1048.8227189238526,560.5646187333069,-339.267547320467,-797.427710388619,-968.4229569308753,-478.958816447446,3614.3463918515868,-109.94519095709208,124.73391200145161,2302.0912111357416,394.1193134851303,-176.13852763444044,-329.4165110413192,-367.02657082657737,-464.75363098730355,817.1269088255626,357.67117505683734,105.77977287289167,-98.68997994569101,-250.76665076326165,-237.3467271058128,-265.2769974048886,-209.5279930274538,34.594257534599045,-39.427467700280104,-115.40512755413936,659.5787972663394,-152.71401044177313,-155.94828690969402,-267.3320690358265,-202.73403213634245,23.587486628077624,11.567293916776185,-57.00922446417803,141.5692810275464,-84.78220015600556,-39.50947138917082,50.0621673455408,32.574164248700214,14.14407575766963,-16.697732612540708,-34.96368521750722,-38.525841873818194,-17.31638933227552,31.26024204331029,-7.233502490055589,,,,,,-36297.64850949404
Adrien Thomasson,Attacking Midfield,-2368.408505917144,8197.382990762264,6602.2057425036455,470.9237246597559,7069.666940192931,-9652.137847802864,7143.754270507223,-980.7884806738318,2999.343010590978,7284.931687091899,1299.9868435588035,1722.2302805900954,5912.363794159549,-863.4565688595928,15285.75589608499,6492.274585085013,5019.630374796506,5889.080905610574,5714.59933723316,1669.030279199631,2020.5578932623118,9143.184069811266,-4743.388788123767,-4954.33175956404,-1896.6963334351028,4657.602793060482,3290.1458408048024,3505.9219118730125,-1291.6416534931066,3102.8282349750402,1676.5422944153604,4285.225407242782,990.7426704110093,-1834.582876810431,4880.209621913497,3779.638988300799,2545.303126450345,3.7104327851759367,1216.814290434053,-738.9573130705123,819.269003583493,745.0961092670768,3927.3400362429506,86.80008689851083,3106.939683545265,282.37900410619676,850.2007906489067,637.3681194001912,-863.3067655252805,3828.4062811639255,-1029.574974201903,2209.3116407327357,1125.3209327923546,971.9188182385434,-265.2769974048886,98.0144953377724,1512.7419184333003,519.2424952669292,309.76536589622896,2885.4641529122296,148.8769750035376,796.2613801956835,602.3823608572184,-202.73403213634245,269.8187337564942,152.1635777093443,483.96109293385706,616.7038680133859,-84.78220015600556,231.4717198140426,104.71336669775616,114.63600110600268,97.10857982877656,-30.200220095521168,-34.96368521750722,50.17161481282822,234.73327761529035,-7.146245250229198,-7.233502490055589,,,,,,129840.56097094965
Aimar Oroz,Attacking Midfield,2738.7769142498664,5070.747498520755,3431.936959848974,-3746.8085354041195,2374.476221991288,-9601.407643183245,4479.050224524019,9136.006083757035,4141.534680321844,10938.553628167852,2953.368168861748,6642.121767509464,6322.37949401921,-2092.9436397357526,845.1259269470064,7070.4445175432975,1925.929993315911,6487.536881589927,6295.32427182128,-2068.4563289226194,3566.963447404646,5998.28542314325,-2348.583779476927,2041.8197176688614,2267.558745000626,-617.0855646858876,3788.4222629382466,4270.695194301569,2686.7285239081443,3256.911062413149,3043.515575961495,2242.199192520746,3018.669073908544,-2395.8401324437013,-159.3762151300581,2104.151583980284,166.82156946877484,3.7104327851759367,1301.602945778128,73.49769592609105,-1225.0022244057943,-540.820782406782,2482.6744139254315,-988.8172061546574,1019.2386672053497,69.28168984133163,-975.6402515643194,-616.7704241441994,-351.174598104071,956.0737795580595,-330.89512984818316,781.5711032898021,715.4225036481286,-290.95948527378914,333.88311742339414,98.0144953377724,582.8784218487818,204.99064109787398,70.60696333039682,659.5787972663394,-1.918517719117753,796.2613801956835,-122.37966405365239,-202.73403213634245,-261.26826985381604,-66.54175263465056,142.4855179266235,99.42024508525418,-10.903254122058378,-93.70570962981351,-113.89143071110529,32.574164248700214,41.798910448038605,10.30724235342021,-34.96368521750722,-38.525841873818194,-17.31638933227552,-7.146245250229198,-7.233502490055589,,,,,,100452.81749821904
Alberto Moleiro,Attacking Midfield,5292.369624333372,8197.382990762264,7791.056535999147,1271.75896391239,4722.071581092109,-9489.801193020081,5887.974202859966,12845.49742404835,2618.612454014022,5092.758522446327,-353.39448174414053,12264.854895417315,2939.7499701770016,366.0305020165668,-3968.417396098988,7070.4445175432975,1410.3132630691462,6367.845686394057,6179.1792849036565,-3937.199632983745,11814.459736163759,4201.200482190098,-7736.895048932318,1800.573115005658,-1896.6963334351028,889.9682518130753,3788.4222629382466,6917.987325785034,5297.533952827715,3102.8282349750402,2587.857815446116,1872.9775874504978,5046.595477406078,-1385.5770723038147,1640.4758695283545,2845.903820268012,2031.0368438597357,489.77712764320154,3463.7136570520393,-1721.1790403649136,-1317.923643859853,-1760.4650164428763,1399.175197187292,-1142.476819447967,1027.656816464785,-686.0299018308015,-975.6402515643194,-616.7704241441994,945.1599506808651,537.191956407204,1008.241238496446,792.3059945487715,393.3594521776651,-112.25029138053448,933.043232251677,-171.0851819818005,362.3369018361002,938.2449674923363,628.6432359840052,254.8723689670867,-554.8353243688542,450.0033194300917,-64.39870206078272,-202.73403213634245,-768.2149551182031,-183.70532246179067,38.4935777441844,84.09332292442063,-10.903254122058378,-120.80382875013483,-4.589032006674562,-131.54950946590472,-68.8204283134373,158.83460466620525,-34.96368521750722,-20.78635053648892,-17.31638933227552,-7.146245250229198,-7.233502490055589,,,,,,118591.0658254346
Aleksandr Golovin,Attacking Midfield,5292.369624333372,807.1536454641504,261.66817719430225,2072.5942031650266,1200.6785424408777,-9408.63286562869,558.5661108935574,4077.6088015416008,5283.72635005271,-22.312195060005532,2953.368168861748,1722.2302805900954,4989.82846947531,-4551.917781488072,5658.669249993,-445.76460441440287,2957.1634538094445,-334.8612445747061,-324.93998248327466,-3937.199632983745,-1587.7217330698008,157.7593650455057,-7138.193796770607,1559.326512342454,-1896.6963334351028,513.2047976883343,-696.0655362627502,-817.9885695499805,1070.515639338886,637.5029959653037,537.3978931269152,1676.0593980796991,-135.88310930984323,-2844.8459369503175,3800.2983711184497,777.7240555598764,38.25499882112169,-968.4229569308753,29.773115617003715,485.7882975064568,-760.3951271355018,2098.039318555566,496.2591832388425,-835.1575928613477,514.1497116392412,455.52057194639974,-367.02657082657737,-464.75363098730355,64.93278792566173,1255.2750818086704,251.33807377991639,323.54907624043983,1037.485555118592,155.81349945934747,34.30306000925278,98.0144953377724,230.10644015826114,-74.34434038573072,-141.97828339478738,153.6957618922735,148.8769750035376,363.43880423869376,-6.417740067913062,-202.73403213634245,462.94128052387975,-136.83989453093463,250.08534174804515,30.449095361503275,62.9756919118888,-39.50947138917082,-4.589032006674562,196.69783796330518,14.14407575766963,10.30724235342021,-34.96368521750722,-3.0468591991596243,-17.31638933227552,-2.345434338536762,-7.233502490055589,,,,,,19617.531614785392
Alexis Claude-Maurice,Attacking Midfield,-2368.408505917144,238.67446505660303,657.9517750261363,-3266.307391852537,-2711.9803893938247,-9205.71204715021,1232.399317923793,5089.288257984687,-46.501442024665714,3631.309746015947,-5313.538457652972,6642.121767509464,-2082.9423531038533,366.0305020165668,9268.826742277495,3023.254990335305,-1425.5787532880652,2896.8010257138035,2810.974664292566,-2068.4563289226194,3566.963447404646,157.7593650455057,46.22122916991331,13380.410042839425,-508.61130728985995,-2124.1393811848507,798.763730137582,623.3149242576834,2065.108183689199,2794.6625800988236,309.5690128692261,-588.4997796844867,-1037.1837330865253,-712.0683655438901,1280.5054525966718,385.0316951722557,-154.59485715035632,2434.043907075304,284.13908164922856,958.7098699074645,-1410.8450633139114,-615.1576425280404,-226.0736279199171,-1142.476819447967,-315.0379904151203,612.5627547803284,-772.7690246517387,-730.7830190118711,497.04430418730715,956.0737795580595,920.9062579522314,-155.9427333268613,-455.7158653353747,537.0597797649573,1831.783404494101,866.8707162508379,-136.83309099774235,309.7412591542257,150.32643085234082,-48.657452257352865,299.67246772619296,450.0033194300917,-267.3320690358265,951.9684987271735,-212.98763316196965,-222.75984573750407,-173.31041470902827,-65.34416814370631,309.2388453583794,-120.80382875013483,50.0621673455408,-131.54950946590472,-41.16559362306832,-30.200220095521168,-34.96368521750722,-20.78635053648892,-17.31638933227552,-26.34948889699894,-7.233502490055589,,,,,,32689.231639999314
Amine Harit,Attacking Midfield,-2368.408505917144,-3172.2006173886807,-3899.3096000399537,9600.445452139793,-1929.4486030268843,-9002.791228671731,-5444.675188103086,-3341.373879041034,-4234.537564371176,-2945.2097479207673,1299.9868435588035,-3197.6612063292737,-3107.981602753008,2825.004643768886,-2765.031565337489,-3336.614266705826,-2972.428944028362,-4883.126662017796,-4738.449485352978,1669.030279199631,-2876.3930281884122,-2537.8680463842225,5135.181872544448,3006.8061283216753,-1896.6963334351028,-1558.9941999977393,-5678.829757597191,-3730.0099141817923,-2286.234197843419,-749.2424509776733,-373.9176279038409,-2040.7714262941274,-3065.1101365840595,11186.585453881442,-1599.2578828567882,-1953.6694733584634,-1697.393704922186,3.7104327851759367,-2132.337595656907,-2048.5862827963806,-946.2379660436188,2174.742516226235,-1309.5728446580567,-835.1575928613477,-1392.5610956228186,3872.2491444143097,-569.897797739158,-1110.8250019041106,-1407.4471934103155,-1138.3353361962177,-127.11350857834842,-875.1804476778129,-689.9435391320753,537.0597797649573,-265.2769974048886,1405.0700708899835,-656.7821563809596,-633.0143033529399,-567.1487768451556,-756.8937017810453,601.2634531715037,-415.64183248388787,-151.37014505008722,951.9684987271735,211.8819697262785,-199.327131772076,-234.43220812238022,-287.58453947579255,727.8862062174135,-93.70570962981351,-168.54263006332064,-131.54950946590472,-68.8204283134373,-70.70768254446256,-34.96368521750722,67.91110615015751,-17.31638933227552,-31.150299808691376,-7.233502490055589,,,,,,-67481.51082785419
Anass Zaroury,Attacking Midfield,-3645.204860958896,-614.0443055547179,-530.8990184693656,3140.3745221685376,1591.9444356243478,-8952.061024052111,-299.039788963106,705.3439467313124,2618.612454014022,-387.6743891676008,-2006.7758070470848,-2143.398744846552,-2185.4462780687686,-3322.430710611912,-1561.6457345759907,-1023.9345368726874,379.0798025756151,-1292.3908061416732,-1254.0998778242656,-2068.4563289226194,-299.0504379511891,-2088.5968111459347,-3246.6356577194924,-2783.112335595209,-1896.6963334351028,-51.940383498776406,798.763730137582,-729.7454985005314,448.8952991199407,-1673.7394156063244,-146.0887476461519,765.312772239755,-1037.1837330865253,-1722.3314256837768,-159.3762151300581,-382.9000318079804,-925.9942810362711,-1940.5563466469266,326.53340932126605,-435.80245896730247,1190.9546813997272,1385.7953401850668,-1128.9896418683666,2084.3750597115377,-256.1109455990743,657.8361768585783,647.3295637363261,1777.4940680769098,-63.10025392964074,-539.9327316949957,-214.44848912256313,-374.21885559257294,-367.88048766161194,-249.26067336536326,-864.4371122331713,-1170.5982691687855,-242.30262590744732,-493.3468126111376,-460.8561534825635,-352.18727348179243,199.14213924442274,-329.07731729248997,-64.39870206078272,951.9684987271735,269.8187337564942,58.43272184763224,-45.12443130047071,-126.65185678704044,-257.166407568549,-120.80382875013483,268.6669647544023,-131.54950946590472,-41.16559362306832,-57.20519506148209,-34.96368521750722,-91.74431588580603,-17.31638933227552,-11.947056161921633,-7.233502490055589,,,,,,-38654.59612202083
Andrea Colpani,Attacking Midfield,-3645.204860958896,-329.80471535094426,-1125.3244152171164,-3800.1975513542943,-1538.182709843414,-8870.89269666072,160.3919431029637,3403.155830579543,-807.9625551785766,708.4121931551849,-353.39448174414053,-2494.8195653407925,-750.3913285599531,366.0305020165668,-1561.6457345759907,2445.0850578770205,-1941.1954835348306,1400.661085765419,1359.1623278222692,-2068.4563289226194,-1329.9874740460784,-2537.8680463842225,-851.8306490726518,-1818.125924942395,879.4737188553829,-1558.9941999977393,798.763730137582,-1023.8890686653615,821.867503251308,1099.7514782796295,1676.5422944153604,888.3866405965043,314.7672025784978,-150.81110991061982,-879.3170489934231,-269.4555721404455,-411.72799844566146,-968.4229569308753,2319.066809907027,582.7978508194846,633.4261646753761,1295.8525946472803,-1309.5728446580567,701.4385400717498,-458.1465278255177,699.0724784967293,-164.15534391399663,-122.71584638428796,737.106257665999,-300.57168989450685,426.00803486834644,-259.7133488302324,-689.9435391320753,-457.7547329074937,-265.2769974048886,-517.0704813926799,-183.11375258498603,65.32315035607172,-35.68566003219522,-251.01066640697923,299.67246772619296,103.74525866449986,-151.37014505008722,-202.73403213634245,342.23968879426377,-74.35265728979324,-152.29979822318853,-161.13743164891588,-109.40851550065464,-93.70570962981351,-113.89143071110529,-131.54950946590472,69.45374513840758,64.31719228534205,-34.96368521750722,-56.26533321114747,-17.31638933227552,-11.947056161921633,-7.233502490055589,,,,,,-22758.83736165837
