Attribute,Weight
xG,7056
npxG,6889
Sh/90,6724
SoT/90,6561
Gls,6400
G+A,6241
Tkl%,6084
npxG+xAG,5929
G-xG,5776
Starts,5625
Unnamed: 0,5476
90s,5329
90s_stats_possession,5184
npxG/Sh,5041
PKwon,4900
Mn/MP,4761
MP_stats_playing_time,4624
onxGA,4489
Tkl+Int,4356
onGA,4225
onxG,4096
PK,3969
onG,3844
Int_stats_misc,3721
Def 3rd,3600
Att,3481
Cmp,3364
Fld_stats_misc,3249
xG+/-90,3136
TotDist,3025
Carries,2916
+/-90,2809
Blocks_stats_defense,2704
PassLive,2601
GCA90,2500
Mid 3rd,2401
PrgDist,2304
PrgR,2209
SCA,2116
PrgP,2025
Pass,1936
GCA,1849
Ast,1764
1/3,1681
Att 3rd_stats_possession,1600
Att 3rd,1521
A-xAG,1444
Off,1369
KP,1296
xAG,1225
Def 3rd_stats_possession,1156
G/SoT,1089
Tkld,1024
Sh_stats_defense,961
1/3_stats_possession,900
SCA90,841
G/Sh,784
Won%,729
xA,676
PrgC,625
TB,576
xG+/-,529
+/-,484
PPA,441
Succ,400
Dead,361
Sw,324
CPA,289
FK_stats_passing_types,256
CrsPA,225
Crs,196
FK,169
PassDead,144
TI,121
CK,100
PKcon,81
In,64
Out,49
OG,36
Str,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
