Player,Position,xG,npxG,Sh/90,SoT/90,Gls,G+A,Tkl%,npxG+xAG,G-xG,Starts,Unnamed: 0,90s,90s_stats_possession,npxG/Sh,PKwon,Mn/MP,MP_stats_playing_time,onxGA,Tkl+Int,onGA,onxG,PK,onG,Int_stats_misc,Def 3rd,Att,Cmp,Fld_stats_misc,xG+/-90,TotDist,Carries,+/-90,Blocks_stats_defense,PassLive,GCA90,Mid 3rd,PrgDist,PrgR,SCA,PrgP,Pass,GCA,Ast,1/3,Att 3rd_stats_possession,Att 3rd,A-xAG,Off,KP,xAG,Def 3rd_stats_possession,G/SoT,Tkld,Sh_stats_defense,1/3_stats_possession,SCA90,G/Sh,Won%,xA,PrgC,TB,xG+/-,+/-,PPA,Succ,Dead,Sw,CPA,FK_stats_passing_types,CrsPA,Crs,FK,PassDead,TI,CK,PKcon,In,Out,OG,Str,SoT%,Cmp%,Succ%,Tkld%,Total Score
Abdón Prats,Centre-Forward,-5186.286903182372,-6308.113637326492,1180.8382607201327,765.1818675131934,-3788.311909601312,-4619.846663680879,-9675.529956813732,-6230.192087355238,435.68471521322493,-6622.109249730624,-8888.427772315437,-5497.764873540049,-5348.172847519537,-3733.715130336005,4026.8522030506356,-7502.090650394088,611.7760128523073,-4492.669595620448,-4696.061001145316,-4317.237785724355,-3449.7519457194303,1332.920125344148,-3118.3428448478926,-2429.109357960656,-1896.3360447074701,-3730.5558895066765,-3495.3456854968294,-562.9120490212779,1024.0348518365809,-2850.2519233259673,-3151.7946699945765,916.3567280319539,-2558.2048385527696,-2967.5072047740027,-644.4758026424294,-2684.898902891405,-1740.8835309889846,-2721.327460396352,-2311.9966460517153,-1743.8880570889128,-1985.047261335768,-1467.058047637424,-1624.9048012501808,-1301.9252494158802,-1791.1278742962693,-1755.8538034059297,-85.76041080680477,-1242.3035071592396,-1526.8184476083902,-1358.6149579750345,-804.7897390108926,-501.85638734947855,-1055.0312723862096,-115.17106693593789,-906.9454465042489,-1078.8516922872022,-307.04521449116294,-320.26319752913236,-593.9332663282921,-619.0971840160273,-423.5928277969538,45.17211894217576,30.242089657140266,-364.5971597720283,-356.08672692669694,-212.49900147723903,-202.59431220423195,-257.43846462328816,-85.22226530033352,-123.54055304464524,-106.15935772955078,-53.324865344773634,-39.47744182524837,-48.05115159155238,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,-141383.97058332647
Abel Ruiz,Centre-Forward,-797.2836716144396,-2632.790812595841,-7130.673608050325,-5488.390805112598,-1161.0089002563236,-2537.249120053308,808.2975646738448,-3225.3768625045363,-1359.3040652234843,1932.413965806628,-8879.137678846999,796.6205641581004,774.9448310368911,684.5144405615972,-2471.022942781072,2284.6476218361986,-1347.7471561332768,-516.5147398912234,-1024.5363643242022,-517.7474505966301,-1096.0044766394585,1332.920125344148,-1075.0779880391879,1566.2597018510794,-652.5498167700068,-888.251723211684,40.900525148778335,-1047.3575699971655,-551.5554878654245,198.9961454763323,-543.0085072945864,-294.6406855249512,-1260.8295275724365,-2616.936470100202,-2634.620584978277,-1376.989317263345,-800.561929541258,-268.98830372474276,-1929.0237399690745,-535.2462874676878,-1293.7493800122145,-1467.058047637424,-1624.9048012501808,-178.45430495031982,-460.7368234719423,-491.81709829240873,-637.0176347333776,-465.1797273503761,-1125.4456252195139,-998.1858781511736,-410.66800981229653,505.40307559929835,-450.0695851915789,552.3510353050078,-382.66293773703546,-1538.3546670446117,147.91569463313408,-645.6826898306477,-314.59244162192294,-59.14941248560771,-206.83541681617024,-114.42162568415237,-103.26185017645304,-198.74730385864436,-191.71674651681164,161.76280577569676,-81.97212212875633,2.1326263341573912,-85.22226530033352,-123.54055304464524,-68.66028111861493,-53.324865344773634,-39.47744182524837,-6.947154446971429,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,-58762.13624432576
Adam Armstrong,Centre-Forward,-2822.97747079964,-3986.8571164439754,-5148.111143939941,-6083.969154886483,-3788.311909601312,-2537.249120053308,-4066.6822328178782,-3094.7327222936356,-3752.622439139097,1932.413965806628,-8851.267398441683,1440.3645293772295,1401.1727754347078,-4617.361044515526,-2471.022942781072,1659.9622002044782,-41.39837680955411,6708.970965681236,1270.1665336889944,6701.2841861460465,-1488.2957214861203,-1930.4360436018692,-3118.3428448478926,234.47001524716754,-652.5498167700068,209.09355618068653,813.7225446938451,-2985.139653900715,-6165.988541569126,656.3833557966772,86.06049647704239,-6043.234741327052,-828.371090578992,-1389.9388987418997,-22.555558162477215,1892.7846468068058,-651.7079308564828,517.6110484152072,-971.5914747624734,-349.3013998336532,-602.4514986886604,137.47784015087552,467.9431060289635,-552.9446197721733,-25.122054617959062,140.20125426435183,1016.7540370463411,311.9440524584874,-456.4909212380532,-277.32771850345136,104.72194375509837,-278.0209511386393,-450.0695851915789,-115.17106693593789,66.72206977771886,-925.6840340347326,-382.87203267854574,-287.72124829898064,-314.59244162192294,204.35542117576622,-423.5928277969538,-1219.3013961741165,-1260.2959954009284,22.385837359200895,-150.6242514143403,-9.773855881898827,-81.97212212875633,-84.39107065165778,-85.22226530033352,91.04976539375997,25.0874104087247,-53.324865344773634,2.3568621985222924,13.604844125319048,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,-57841.85203054508
Ademola Lookman,Centre-Forward,7136.683708527591,7812.863531375484,7052.273250585504,7614.332889912871,10661.854641796124,12040.933685339687,4294.170215568463,10230.969579218172,11504.782194572932,7196.735944598783,-8758.366463757297,5588.936749678282,5436.86397266508,-1082.7773877974432,-2471.022942781072,3534.01846509964,3224.4735714997532,-46.21685372970172,7695.334648125944,242.1506164289149,5751.260887956823,1332.920125344148,6806.086459651532,-1097.3196713567443,8053.953778792234,8322.252916934114,8003.309211370678,-320.68928853333415,3639.176404744432,6413.525616672522,8115.941309326657,3788.0159963388915,3496.2132793554515,6848.473366092415,4579.654250989171,5162.558610876956,5542.070648563678,8013.440168807672,8219.758271220899,2625.816802310901,3199.6868485908863,4951.085503515775,3607.21496694768,1319.5069543370942,5296.44214867935,2036.2563119346335,-499.2033287517344,1089.067832267351,5028.937651409924,3417.0703496911246,407.89250467709536,505.40307559929835,3611.8160288295126,-782.6931691768837,3362.2121248859175,3092.7145295300625,375.3961491952826,293.9660941899781,2869.8929600306865,3004.094278827864,9.921994164613343,996.5963657529782,1009.2709817701577,1072.7682581439658,794.5031359425002,941.474904219313,-81.97212212875633,1501.8767074216205,104.9790969416682,734.8207207089756,756.3194043219738,-53.324865344773634,964.5458547452475,116.36483698677144,575.0425142012926,-18.412010011838913,445.89469981086665,181.64413029474804,-4.295240920763867,-2.48026444805113,,,,,258437.71208017023
Ado Onaiwu,Centre-Forward,-2654.169654200873,-1859.0386389683356,-649.2193984586822,5232.019490817331,-3788.311909601312,-3578.5478918670938,-2179.593278950114,-2310.867881028236,-4051.7872358785476,-3989.948260334547,-8739.786276820421,-2851.2619054169627,-2773.680187217402,3335.452183100159,-2471.022942781072,-5211.577437744447,3224.4735714997532,-815.7952129031,-1942.4175235294806,-1277.6455176221748,-2165.8896898576277,-1930.4360436018692,-1658.8679471273895,-1097.3196713567443,-1896.3360447074701,-366.5629838284259,-169.86911654533077,-1289.580330485109,-2113.027127062745,-540.3790499677651,-394.9922711130266,-601.5088340921927,-1693.2879645658807,-162.9413273835974,-2012.7003404983243,584.8750611787455,-179.7318374657319,-268.98830372474276,-588.6185686798328,-349.3013998336532,-948.1004393504373,-1467.058047637424,-578.4808476106085,320.8661148121515,-543.1504283902634,-1755.8538034059297,327.68250713812483,1866.1916120762144,-724.0728028306374,-727.8640682832777,-137.81450498249924,-781.6506826130276,-277.22338885025584,-782.6931691768837,-8.175431474740197,452.82489023749525,-155.3915781163972,456.6758403407358,-314.59244162192294,-223.8399335239664,-423.5928277969538,-249.4624865218146,-103.26185017645304,-32.89744794526042,-109.53175631186897,-243.6874854149837,-202.59431220423195,-170.91476763747295,-85.22226530033352,198.3449246129626,-59.28551196588097,-53.324865344773634,-39.47744182524837,-48.05115159155238,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,-65946.80323018038
Akor Adams,Centre-Forward,-1134.8993048119733,-118.09624830644825,-2250.5198502401468,1360.7602172870788,-2474.6604049288176,-2537.249120053308,9981.646645975474,-743.1381984974346,-3752.622439139097,616.333471108589,-8619.015061730719,9.822384445832043,9.555121217337833,1568.1603547411187,10524.727348882343,3742.24693897688,-3307.270325118861,2946.5878763890687,-3319.2392623373985,4421.589985069411,-1488.2957214861203,-1930.4360436018692,-1658.8679471273895,-2429.109357960656,-1896.3360447074701,-1751.7365332253526,-1973.1204954838197,-2258.471372436884,-3973.825687595209,-1745.2368045874348,-1930.6607214967087,-4233.211712794139,-2558.2048385527696,-338.22669472049773,1594.437077485399,-1376.989317263345,-1552.0930936326843,-1055.5876558646928,-397.1321156385126,-1743.8880570889128,-1985.047261335768,672.3231360803087,-578.4808476106085,-802.604829653409,-908.1249644571143,-1123.835450849169,-85.76041080680477,311.9440524584874,-55.11809884917675,-457.5422584153818,-653.2044585498942,-501.85638734947855,-622.915781532902,-115.17106693593789,-532.4579402419536,-276.97395202427253,-79.56475992901441,330.57578707389854,-593.9332663282921,-256.77803773163816,-206.83541681617024,-679.1379528234673,-770.7815493444195,-419.8804450764896,-109.53175631186897,-25.36809785077115,38.65006794671929,-55.54983832305272,-85.22226530033352,-123.54055304464524,-59.28551196588097,-53.324865344773634,-39.47744182524837,-48.05115159155238,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,-38798.07026637891
Alassane Pléa,Centre-Forward,3422.9117433547262,3557.2265764242034,-3013.0438748979877,-3999.4449306778856,6720.900127778641,7875.738598084547,1961.518592037478,4221.339129516768,9111.46382065732,5222.615202551725,-8600.434874793844,3872.286175760605,3766.922787604237,2451.80626892064,4026.8522030506356,1659.9622002044782,3224.4735714997532,4571.253301310686,-1483.4769439268414,2521.8448175055496,3682.8161424016967,1332.920125344148,4762.821602842827,-1097.3196713567443,-3140.122272644933,7098.982769414751,6691.853663051776,1859.3155558581593,-39.85671288382258,6454.00236094866,5137.114556172768,1966.6815875563514,36.54578340789666,4745.048958049611,4952.806397677141,-1376.989317263345,6990.674196739906,2137.0803028209866,2858.1375860639314,6623.631886442646,434.4953232966704,4416.240207586342,2560.7910133081073,6437.541256902425,1787.9772535851064,1404.237959377873,1430.1969549912706,4974.686731311669,1282.7913091137445,1254.4958707479582,892.9654021522906,2687.798578654981,587.0075928563593,-782.6931691768837,1265.082089817064,912.3278649949048,906.1838765069626,-316.19545387536334,914.5071870861016,797.2412969138576,2611.0109259340165,-22.348311476655372,430.75390915792013,1128.0515434484269,260.300699610373,161.76280577569676,641.7610183240974,88.65632331997256,-37.67192473983309,627.525561489773,212.58279346340393,51.11831919257611,44.19116622229295,75.26083984219048,-14.822143281826126,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,152824.49846875202
Alexander Isak,Centre-Forward,18784.42305384249,19612.58417919494,3849.6723470225743,6720.965365252046,19857.415174503585,19330.02508803619,1253.8602343370676,16240.600028919578,11803.946991312385,9170.856686645842,-8331.022164209126,8306.966825047937,8080.937515678084,5986.389925638721,4026.8522030506356,5616.303203872041,3877.6479611616146,5426.340367058906,1270.1665336889944,6321.335152633274,8675.613804086484,4596.276294290164,7681.771398283833,234.47001524716754,-652.5498167700068,4814.345876253586,4794.926887804794,-1531.8030909730528,2194.4228768225953,3759.600416967159,4859.584113332343,1495.4875253285059,3928.6717163488956,6848.473366092415,3211.429713133276,-723.0345244493147,2466.964870856248,4681.960559744354,4581.515663435814,3741.486128115109,2854.037907929109,4951.085503515775,3607.21496694768,2068.487583980801,3294.968886377265,2668.2746644913937,1568.0112609729135,3420.4391716939413,3155.8644802618346,2065.4613003516456,286.62428030829653,1232.8682432845264,2229.0464580989283,552.3510353050078,1789.3645985842772,795.1996557430158,982.0106946943455,-385.34709598943545,1137.9798468511972,1587.7557978979792,660.194227106964,714.2382021833206,430.75390915792013,519.9354050993527,1205.4280869672136,676.3727907484835,38.65006794671929,838.528363863704,-85.22226530033352,-123.54055304464524,-3.036897049477191,260.00468826727564,2.3568621985222924,116.36483698677144,3.0525433085714115,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,281931.48578008736
Alexander Sørloth,Centre-Forward,7811.914974922658,8586.61570500299,9644.854934422161,10145.540876451883,8034.551632451136,6834.439826270762,3429.254445045739,5789.06881204757,4324.827072826095,-1357.787270938469,-8312.441977272249,510.5121351718207,496.62130019341686,4219.098097279681,-2471.022942781072,-2504.607277340325,4530.822350823476,-2269.4432246750744,-2401.3581031321196,-2417.4926181604924,2220.6396843368652,1332.920125344148,2427.661766490021,-2429.109357960656,-1896.3360447074701,47.190154303123656,-474.3141545479328,-1289.580330485109,4070.8153599824486,-839.906957611177,104.56252599973736,3858.967265646865,-1693.2879645658807,-1214.6535314049993,1345.6689796934186,-723.0345244493147,-709.7972961968828,-500.3410543541398,-492.8753421591727,-163.35651219961858,-1293.7493800122145,672.3231360803087,467.9431060289635,-303.28440989093764,139.70515521868325,-491.81709829240873,603.3111191014114,2643.315391885078,-322.69998044176106,-7.005908635555513,44.08783157069896,897.1150889682673,154.89210200305178,-115.17106693593789,-157.9704339796583,-439.1514725268875,602.8766037574311,948.8728224467777,-314.59244162192294,105.54110855275101,-206.83541681617024,708.0999812361541,653.2604755472423,22.385837359200895,137.02321430295902,-150.12203360174973,-202.59431220423195,59.81509099136751,-85.22226530033352,-16.245393825442637,-78.0350502713489,-53.324865344773634,-39.47744182524837,-48.05115159155238,-23.759486577024898,-18.412010011838913,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,60067.085798827386
Alexandre Lacazette,Centre-Forward,11525.686940095526,7039.111357747978,-1564.2482280480915,6274.281602921631,8034.551632451136,6834.439826270762,-318.71389388606883,6834.22193373477,-2256.7984554418395,4564.5749552027055,-8303.15188380381,4444.5030337331655,4323.569849291185,5102.744011459202,-2471.022942781072,2284.6476218361986,3224.4735714997532,3545.148822412822,3564.8694317021905,1002.0486834544599,5786.92372839743,11122.988632182198,4762.821602842827,5561.628761662815,591.2364111674561,2871.5050537228312,2546.717376400964,2101.538316346103,1961.7117761793127,1738.461652778732,1880.7573601784538,2570.559060641441,469.004220401341,2992.1952846806084,-146.9396070584671,1892.7846468068058,1780.7842427727714,2923.6796549609367,1996.4485473779905,3183.651465213005,434.4953232966704,672.3231360803087,467.9431060289635,1943.6574790401833,1823.2973699786726,140.20125426435183,-1601.7177766048803,1089.067832267351,1282.7913091137445,1434.7104106598888,-168.13156107469896,-278.0209511386393,154.89210200305178,-115.17106693593789,-382.66293773703546,326.6868187354612,299.5693310078999,-251.1115554150602,1473.18883649884,-59.14941248560771,443.4368161261805,487.1240271381613,608.759162269378,851.6351169261205,54.838224098016354,52.60311199359047,521.1388282486218,-55.54983832305272,-85.22226530033352,305.6400838321652,53.21171786692659,51.11831919257611,-39.47744182524837,-27.499153019261904,-23.759486577024898,355.0887645140362,-14.745195099565697,-10.241485811450163,-4.295240920763867,-2.48026444805113,,,,,134481.5789059727
