Attribute,Weight
Mid 3rd,7056
Starts,6889
90s_stats_possession,6724
90s,6561
MP_stats_playing_time,6400
Unnamed: 0,6241
Pass,6084
PrgP,5929
Att 3rd,5776
Tkl+Int,5625
Fld_stats_misc,5476
onxGA,5329
Blocks_stats_defense,5184
onGA,5041
onG,4900
1/3,4761
onxG,4624
xG+/-90,4489
Att,4356
Carries,4225
Cmp,4096
PassLive,3969
GCA,3844
Mn/MP,3721
+/-90,3600
Off,3481
G/SoT,3364
KP,3249
Int_stats_misc,3136
SCA,3025
1/3_stats_possession,2916
GCA90,2809
A-xAG,2704
xG+/-,2601
Sw,2500
Def 3rd,2401
FK_stats_passing_types,2304
PassDead,2209
Ast,2116
TotDist,2025
CK,1936
SCA90,1849
Att 3rd_stats_possession,1764
Crs,1681
+/-,1600
PPA,1521
xA,1444
xAG,1369
G/Sh,1296
Dead,1225
Won%,1156
PrgDist,1089
G+A,1024
Out,961
TB,900
In,841
PrgC,784
npxG/Sh,729
SoT/90,676
G-xG,625
PKcon,576
PrgR,529
npxG+xAG,484
Sh/90,441
Tkl%,400
Tkld,361
Succ,324
CrsPA,289
Gls,256
Def 3rd_stats_possession,225
Sh_stats_defense,196
npxG,169
xG,144
FK,121
CPA,100
TI,81
PKwon,64
Str,49
PK,36
OG,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
