Player,Position,Mid 3rd,Starts,90s_stats_possession,90s,MP_stats_playing_time,Unnamed: 0,Pass,PrgP,Att 3rd,Tkl+Int,Fld_stats_misc,onxGA,Blocks_stats_defense,onGA,onG,1/3,onxG,xG+/-90,Att,Carries,Cmp,PassLive,GCA,Mn/MP,+/-90,Off,G/SoT,KP,Int_stats_misc,SCA,1/3_stats_possession,GCA90,A-xAG,xG+/-,Sw,Def 3rd,FK_stats_passing_types,PassDead,Ast,TotDist,CK,SCA90,Att 3rd_stats_possession,Crs,+/-,PPA,xA,xAG,G/Sh,Dead,Won%,PrgDist,G+A,Out,TB,In,PrgC,npxG/Sh,SoT/90,G-xG,PKcon,PrgR,npxG+xAG,Sh/90,Tkl%,Tkld,Succ,CrsPA,Gls,Def 3rd_stats_possession,Sh_stats_defense,npxG,xG,FK,CPA,TI,PKwon,Str,PK,OG,SoT%,Cmp%,Succ%,Tkld%,Total Score
Abdou Harroui,Central Midfield,-7988.114018726169,-7659.888495917131,-7902.966182869971,-7711.386247146026,-9729.350848807007,-11463.828214553741,-5548.9209487694325,-5837.694903610372,-7112.865443658838,-6724.804401667656,-6144.956907228277,-4023.7744133281,-5626.251467519432,-3350.064900717418,-4475.346675954661,-4360.013361362646,-4788.898018638681,-4754.726612127161,-4924.829159441477,-4146.410383556355,-4492.857007381263,-2998.065921658071,-773.7804591413195,-2535.6922261727127,-2970.7092910953784,-2385.054729810565,147.03704495126564,-3113.045964433041,-3659.2022974179977,-2591.9360144362013,228.7203801124981,4636.225361962538,4684.226813823034,-1178.4687770856776,-2111.333229303333,-1624.3869585854122,-1920.8947807718998,-1285.4018608829065,863.6073346989094,-2211.780877109526,-1107.7533872883278,611.8826952337168,-1330.869103882349,-946.2137010861446,-653.2897346019397,-1359.0671365437015,-971.8146146574595,-1149.1205385112676,66.67811371220913,-971.1281537140875,448.0768977228255,-1159.073955336503,91.97623460384337,-493.30289836444825,-474.56393161413837,-412.00538080095544,25.185776666394435,1275.2024344325694,962.6205627419051,-641.4957714891183,-237.32503087250984,-118.88459959100605,-60.358034879797046,1030.8181585516925,1375.1198635238654,121.5501024316324,-154.82217680110068,-52.916960687680096,-55.3033711672115,-248.78412118088417,-209.81106903516738,97.1630887058283,66.60598008062631,40.60516154670823,-3.375171897181827,-26.073098508668213,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,-156234.76727193902
Abdoulaye Doucouré,Central Midfield,2450.2073764414404,9847.706252336735,8906.551850085772,8690.64346942486,5794.442741013045,-11441.003132659329,7191.933491002669,248.58316210428734,3099.950784364729,1511.7149828605889,-5297.199474374877,5565.699507725583,6087.710578420079,4283.511091575318,1427.683663550863,-1674.151709488408,1952.236177254062,-1340.9723381738488,988.3183495375698,941.9263578516415,631.4577971839833,3484.421848397902,-1955.9450494961131,3581.372228279628,-686.5131974202745,2112.4770464036433,707.9876210659189,2338.294806396906,-1900.4828710446518,1393.3354346678007,431.61749150261704,-2446.568811675894,-2362.750884898963,-1627.4778669695852,-1633.4594531235664,2094.1936456469343,-1679.824129448558,-1285.4018608829065,-513.157981487758,19.127136895702,-1107.7533872883278,-986.8343179625008,1419.2861111869574,-326.97617732129044,-793.1895479819786,164.34371623965944,-438.28967362778167,519.1251648016998,235.28943574308244,-783.0989402336922,-189.4421023808341,-371.0449269885249,91.97623460384337,-493.30289836444825,-774.0019764184703,-412.00538080095544,531.4582416355408,912.8978254246075,-144.26473500292025,-641.4957714891183,-237.32503087250984,531.6077747370852,471.3162079941003,-126.36613169538401,-419.99653844950717,204.0841226012593,310.7023639220267,-211.6678427507204,88.39830194444045,67.56257349832154,131.54136867200717,217.57121422377801,161.5861011720645,-49.93337433446553,14.589452716850513,-33.178071677834616,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,47428.35018227802
Adrien Rabiot,Central Midfield,3253.155176069718,5679.231312276291,6850.0682609475725,6684.012174312466,2141.785425761268,-11178.514690873588,821.5062711166183,8981.069082477494,8206.358898376513,3960.409935017635,3604.2535705858163,4824.245338571948,-745.433948377969,4732.54497347489,7699.653399275483,7551.1991817317985,8655.068474306503,3852.1824301328998,6339.822815549073,6785.804009347491,6173.1376084559015,2366.7515432158375,3954.8779022778535,4480.940530404972,2167.0574218239854,613.299787665574,2671.314637467207,702.8925751479218,2320.4437522513786,1144.2559690988005,5909.839499035829,953.172391670554,-465.48765831996343,3390.859019968203,-2111.333229303333,663.9703363268011,-112.86489584683736,-1285.4018608829065,863.6073346989094,1918.484666182672,-1107.7533872883278,-786.9946913129734,3484.853332805535,292.26134644356375,1445.207466098645,926.0491426313399,628.7602084315737,831.9212341728811,1752.7913340209432,-430.54416495795084,643.2357753055785,348.02419386752126,1988.9860733081143,-493.30289836444825,723.1882476031898,-412.00538080095544,2008.0862644622177,912.8978254246075,668.9571164014412,999.10343622894,1186.6251543625494,1312.1986239307946,778.0513481136564,247.30796203023456,370.83980327351816,369.15216294051316,388.2897873758813,26.458480343840062,663.2049943910482,20.98391906702744,-152.91899608397162,362.06096484531764,275.5622464817903,-49.93337433446553,122.37720040104456,-11.863152170335415,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,145307.3436868256
Albert Grønbaek,Central Midfield,-4776.322820213059,-4325.108543868776,-4415.885314331279,-4308.837529346746,-4250.364875929342,-11030.151658559907,-3425.4452088074154,-4646.9013690140255,-304.32129164312636,-3608.283553467779,-3177.8058922413784,-4913.5194163124615,-3673.924459862847,-3799.098782616991,-1892.7709024209942,-5177.449516280892,-3448.331559228192,1013.6914111150317,-4447.962424846392,-3483.384686948646,-4550.824369423857,-2103.92967751242,1590.5487215682672,-1636.1239240473685,1909.628268629289,613.299787665574,-273.6758871347245,975.4596136894191,-2955.7145268686595,-848.3797554532005,-785.765176838097,4211.257711544234,347.62515307103615,247.7953907808516,-1633.4594531235664,-480.2083111293056,-1197.6828268018749,347.3256760353349,-513.157981487758,-2196.352290196894,831.8204016806237,1094.828459636741,-233.16766610790484,34.2457115415412,465.90877243837224,164.34371623965944,-651.699650039653,-523.5283997689048,403.9007577739557,-336.5295582177531,-1282.3318168442506,-1014.6707302465593,91.97623460384337,-103.23111770885419,-474.56393161413837,877.495751759237,25.185776666394435,-174.01600159927875,1459.5894719334592,354.58231891113127,-237.32503087250984,228.04466671730924,-80.80704422110081,741.5220859899234,-384.4225853616201,575.4872133645805,39.146381833535735,-211.6678427507204,88.39830194444045,-235.19868030509008,-152.91899608397162,12.877400843263496,0.11989531661957639,131.143697427882,140.3418250150769,-21.336449729223947,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,-85423.98424573647
Albert Sambi Lokonga,Central Midfield,-3170.427220956503,-156.63360380833157,770.0298234954937,751.3631278932085,-1510.8718894905091,-11018.739117612702,-2717.6199621534097,2233.239053098198,-5410.72940565491,-2940.4576574249486,1060.9812720256184,-959.0971808264081,-3185.8427079487005,-206.82772742040936,-2630.649694859185,2413.0290651028226,-1609.8404148938075,-604.6503153005607,1793.6932790759347,726.0575263979688,2335.698241236226,578.4790549245347,-773.7804591413195,1782.2356240289396,-1465.7748365799364,-2385.054729810565,-3358.9040557653193,-114.80854047657027,-1548.7389857699825,-723.8400226687004,-1191.559399618335,-746.6982100026698,3871.114002432035,-570.9858907721562,2667.4045324943345,-480.2083111293056,369.276406799846,-1285.4018608829065,863.6073346989094,1062.690494241585,-1107.7533872883278,-886.9145046377371,-941.3621420914172,-1307.4355899489763,-933.0893613620176,-749.7027954303571,-758.4046382455884,-836.3244691400863,-1113.6011405039048,-477.5514683280496,1651.5566428164689,638.0094458848771,-287.42573313701087,-493.30289836444825,423.7502027988577,-412.00538080095544,-17.003595414367773,-355.16830610325997,-505.6966689604141,-172.75314071253032,-237.32503087250984,-350.17077712988294,-367.0931749993532,-403.6082012337461,742.9980817314128,-249.8529883316888,-232.40960025495525,-211.6678427507204,-199.00504427886347,147.13444148511562,-152.91899608397162,-119.57153722648117,-104.35823788396243,-49.93337433446553,-57.269045739278845,-21.336449729223947,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,-38040.8254036679
Aleix García,Central Midfield,-6382.218419469613,-156.63360380833157,-213.5058060923437,-208.33010020402543,2141.785425761268,-10961.676412876672,-2717.6199621534097,5408.688478688455,-3708.5933676509817,-5389.1526095819945,-4873.320757948178,-860.2366249392553,-3185.8427079487005,1589.3078001778813,2903.4412484272443,7901.528962411046,1913.934278413762,3287.3454094906583,5937.13535077989,3578.6099420357846,6068.796356779234,1025.5471769973603,5137.042492632648,-1096.3829427721619,1593.9487231058654,-2385.054729810565,10664.860347101021,3973.6970376458903,-1548.7389857699825,2016.034098590301,2257.691494013688,4636.225361962538,-4260.014111477961,1779.708756267124,11269.132503730138,-2768.565606041519,3262.124222679946,3939.3262572554654,2240.3726508855766,3119.944838528042,4710.967979618527,2060.719988442789,2080.2676221049023,2924.0208224441944,605.8085858184112,-445.02062487368494,2015.9250551087355,3334.289789142332,2764.459266206183,1520.2589249011514,-1243.3000413277,1694.8052931757707,1230.182137826406,1457.0560049135222,-175.12588680980633,2086.4030635344175,-143.57171165665437,-174.01600159927875,-302.3912061093238,1292.0675804643076,-237.32503087250984,-3.2415108215676227,553.1122453593152,-156.5011392539017,-220.23510957137265,-373.6540185861292,-232.40960025495525,26.458480343840062,232.0999750560924,50.095578086586244,-152.91899608397162,-59.36747446750633,-56.86817733824333,131.143697427882,-57.269045739278845,-11.863152170335415,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,73612.3904942107
Alessandro Bianco,Central Midfield,2450.2073764414404,6512.92630028838,7565.366900647814,7381.9708856559055,5794.442741013045,-10870.376085299022,7191.933491002669,5144.067693222601,6504.222860372584,4405.627199046188,9114.676884132914,7888.922571073638,9504.282841819104,11917.087083868053,-1154.8921099828037,5916.326871895306,-460.7834496848173,-4453.90364061135,4898.625573217262,6878.319222827637,4851.481753884775,-92.12312818470387,-4320.2742302056995,2681.803926154284,-4997.616204079432,2112.4770464036433,-974.8641072780413,-114.80854047657027,1616.95598170204,-848.3797554532005,2054.794382623569,-3579.815879458043,-1549.6380735079626,-4559.243100917452,1711.6569801348012,2380.238307510961,3382.6595483416168,-958.856353499258,-1889.9232976744254,3204.637932644191,-1107.7533872883278,-2085.9522645349,-256.77414864068857,-481.78555826250397,-4150.785069102914,469.02588679633163,-331.5846854218463,-836.3244691400863,-270.5445303495377,157.04712716828473,-918.0352453564453,1364.1513777657365,-666.827700877865,-493.30289836444825,423.7502027988577,-412.00538080095544,320.5113812317299,-536.320610607241,-189.4437267476069,-55.56748301838319,1186.6251543625494,-321.2600049375233,-203.50110026892327,-138.4201347187911,515.8720735549034,121.5501024316324,233.11494046817214,26.458480343840062,-55.3033711672115,430.48792260882135,529.7858793303775,-23.245036812121423,-28.37414101081188,-49.93337433446553,-3.375171897181827,-26.073098508668213,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,84333.08700225985
Alessandro Deiola,Central Midfield,1647.2595768131628,-990.3285918204205,-1197.0414356801796,-1168.0233283012578,2141.785425761268,-10836.138462457404,-2717.6199621534097,-4514.590976281099,-3708.5933676509817,-1382.1972333250105,-3177.8058922413784,523.8111574808623,1206.8930592786162,-1553.9293731191274,-3368.5284872973757,-2258.0346772871553,-1494.934718372908,-2085.477354547334,-2667.6599490247445,-2882.0357993277007,-2858.1773977801327,-2550.997799585245,-773.7804591413195,-1995.9512448975058,-1431.6970667141188,-885.8774710724954,-3358.9040557653193,-3385.613002974538,-493.507329945975,-1720.157884944701,-3017.6334021294056,-180.07467611159558,1431.7755682590355,-1310.5302741103562,755.9094277752674,-1338.3422967213855,-1559.2888037868872,-958.856353499258,-513.157981487758,-1274.9045569254588,-1107.7533872883278,-1353.2069668199672,-1094.8042785545115,-688.198066184122,-793.1895479819786,-902.0438807086932,-971.8146146574595,-940.5898255971467,-1113.6011405039048,-853.6098952888404,409.04512220627527,-711.1292570983104,-666.827700877865,-493.30289836444825,-175.12588680980633,-412.00538080095544,-607.6548045450386,-536.320610607241,-437.928181343384,-407.1244561008244,-237.32503087250984,-191.16153007190508,-305.746146975442,-60.0691150666452,-450.0975756777193,-414.9210286709427,-271.2033119818825,-132.29240171920026,-199.00504427886347,-39.18017624006077,359.1096604767902,-71.4082870193013,-66.36618944738713,-49.93337433446553,-57.269045739278845,-21.336449729223947,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,-84011.3634904309
Alessio Iovine,Central Midfield,-7988.114018726169,-9327.27847194131,-8707.677152532744,-8496.589797407398,-10642.515177619951,-10790.488298668579,-4841.095702115426,-7822.350794604283,-7112.865443658838,-7392.630297710486,-4873.320757948178,-7335.6030355476705,-4650.0879636911395,-5595.234310215281,-5213.225468392852,-5527.77929696014,-5171.917007041677,2452.246383338372,-4787.06765833623,-5086.981720604499,-4469.670062564226,-5456.940593058613,-4320.2742302056995,-3255.3468678729882,-801.2583241964943,-3884.231988548634,147.03704495126564,-3385.613002974538,-3307.458412143328,-3837.333342281202,-2206.04495656893,-3579.815879458043,-194.45005452296363,327.03228899565875,-1633.4594531235664,-2768.565606041519,-1679.824129448558,-632.3108461156098,-1889.9232976744254,-1986.9174295530838,-1107.7533872883278,-2269.138588963634,-1885.621443402767,-636.5949392037176,-233.59029446182268,-1359.0671365437015,-1398.6345674812017,-1357.6512514253886,-1113.6011405039048,-30.982086312110646,-1575.07013321838,-971.055062260209,-1046.2296686187192,-493.30289836444825,-774.0019764184703,-412.00538080095544,-565.4654324642764,-1079.7775241191841,-799.360115300878,61.61817467576377,-237.32503087250984,-509.18002418786074,-551.1342590710868,-584.4182465848519,-266.7548943786095,-414.9210286709427,-348.7907354357371,26.458480343840062,-199.00504427886347,-167.2714759261195,-152.91899608397162,-167.73478743366107,-142.3502863205377,-49.93337433446553,-39.304421125246506,63.92322830077285,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,-200556.90621536973
Alex Král,Central Midfield,8070.841973839384,10681.401240348823,11946.571068811812,11656.967992634489,7620.7713986389335,-10744.838134879754,1529.331517770624,1042.4455185018517,-2006.4573296470542,7299.539415231789,1908.7387048790179,12387.077863939026,5111.547074591786,8773.849910571043,2903.4412484272443,1829.1460973040757,1224.500099288368,-4655.121238849224,967.124272444455,1712.8864701861862,-98.9309645526922,802.0131159609475,-3138.109639850906,4480.940530404972,-1455.9447106571045,5110.831563879782,-3358.9040557653193,-932.5096561010623,3727.419293350055,646.0970379608002,2460.588605403807,-3013.192345566969,-1007.5628659139633,-5774.208873544495,755.9094277752674,3810.461616831094,-836.0768498168624,-958.856353499258,-513.157981487758,-15.012714996079,-801.5048942932302,-1752.8862201190218,191.74901948220256,395.46760040437283,-1632.5884282622128,-140.33845431701275,95.23526740189622,-2.201617483602499,-1113.6011405039048,-454.0478166430002,558.6669283530523,-42.74861525342852,-666.827700877865,-103.23111770885419,1022.6262924075218,-412.00538080095544,1037.7307066046874,-355.16830610325997,-641.2336441944743,-524.3101137949714,-237.32503087250984,473.7862303523659,-80.80704422110081,-331.2841830933038,58.88359927204796,451.6861831101401,698.6394811912995,105.83392137536022,-199.00504427886347,123.84511426946857,472.89380637918174,-47.326661915711355,-47.37016522909951,-49.93337433446553,50.51870194491519,-28.441422898390346,-19.505345370531522,-10.645783748566089,-8.846413982038792,-4.017790942439866,,,,,75981.92048515283
