Attribute,Weight
Def 3rd_stats_possession,1000000
Sh_stats_defense,974169
PrgDist,950625
TotDist,927369
Carries,904401
Cmp,881721
SCA90,859329
Att,837225
PKcon,815409
90s,793881
90s_stats_possession,772641
Int_stats_misc,751689
Blocks_stats_defense,731025
Unnamed: 0,710649
Starts,690561
MP_stats_playing_time,670761
onxG,651249
onxGA,632025
onGA,613089
FK_stats_passing_types,594441
onG,576081
G/SoT,558009
Tkl+Int,540225
Tkl%,522729
Def 3rd,505521
xG+/-90,488601
1/3,471969
Sh/90,455625
+/-90,438244
Att 3rd_stats_possession,422500
Sw,407044
xG+/-,391876
+/-,376996
G/Sh,362404
GCA90,348100
Mn/MP,334084
SCA,320356
PrgP,306916
Att 3rd,293764
PassLive,280900
OG,268324
Mid 3rd,256036
KP,244036
Tkld,232324
Off,220900
Won%,209764
Pass,198916
GCA,188356
SoT/90,178084
Fld_stats_misc,168100
1/3_stats_possession,158404
npxG+xAG,148996
PrgR,139876
Ast,131044
xAG,122500
Succ,114244
PrgC,105625
PPA,97969
npxG/Sh,90601
G+A,83521
xA,76729
CPA,70225
Gls,64009
npxG,58081
TB,52441
Dead,47089
xG,42025
CrsPA,37249
G-xG,32761
Crs,28561
TI,24649
A-xAG,21025
PKwon,17689
PassDead,14641
FK,11881
CK,9409
In,7225
Out,5329
PK,3721
Str,2401
SoT%,1369
Cmp%,625
Succ%,169
Tkld%,1
