Player,Position,Def 3rd_stats_possession,Sh_stats_defense,PrgDist,TotDist,Carries,Cmp,SCA90,Att,PKcon,90s,90s_stats_possession,Int_stats_misc,Blocks_stats_defense,Unnamed: 0,Starts,MP_stats_playing_time,onxG,onxGA,onGA,FK_stats_passing_types,onG,G/SoT,Tkl+Int,Tkl%,Def 3rd,xG+/-90,1/3,Sh/90,+/-90,Att 3rd_stats_possession,Sw,xG+/-,+/-,G/Sh,GCA90,Mn/MP,SCA,PrgP,Att 3rd,PassLive,OG,Mid 3rd,KP,Tkld,Off,Won%,Pass,GCA,SoT/90,Fld_stats_misc,1/3_stats_possession,npxG+xAG,PrgR,Ast,xAG,Succ,PrgC,PPA,npxG/Sh,G+A,xA,CPA,Gls,npxG,TB,Dead,xG,CrsPA,G-xG,Crs,TI,A-xAG,PKwon,PassDead,FK,CK,In,Out,PK,Str,SoT%,Cmp%,Succ%,Tkld%,Total Score
Abakar Sylla,Centre-Back,118.32787078307364,-1272.724573486006,-3223.701176428948,-3311.808177942825,-2892.4698857452245,-2438.691465084076,-6960.392848132999,-2585.370595548317,-3381.970775808788,-3406.112761480162,-3315.8886189982877,-3121.3754108781523,-725.252396695369,-8317.704801145159,-3277.438773038996,-128.16966600059453,-1974.893400879827,-771.1282594419927,-663.4277895593647,-362.48441470895415,-1865.9847564343372,9998.124505344329,-690.7823851628464,5950.891120370881,-604.8857622865861,-1556.2435755020745,-2552.282893021606,-115.66094998580962,-1272.9365218028906,-1948.3404877711446,-2010.350267731007,-936.1469665295317,-981.394915478977,2131.4916437364022,355.78007017655483,-2758.8285373358917,-2368.5099625604867,-1921.1704669749452,1065.2062369785065,-2193.964933484652,3870.7204409944193,1111.2078416394597,-1776.9501920185269,531.8124895386987,-1578.9879495046737,-311.3363644139895,-59.15404216493313,-321.7593364196254,-302.6503010628235,-379.4366254792138,-937.515163221783,-808.5852417828125,-358.3772089616714,-518.4743665841581,-708.9733159548292,-89.5633218157709,-816.8245952438517,-600.4657980857322,-141.1267193993627,8.910399255103167,-404.71421172602464,-302.350600579135,227.36068064025704,-208.57378804391635,-263.3759553080059,175.87928951808126,-151.3348927334829,-134.8459168109971,269.12410948899327,-80.32690514274235,-2.4675128573188303,-0.3021936558066466,-34.81862997309488,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-61461.688868641795
Abdel Abqar,Centre-Back,3793.6538151320883,3805.6960285610985,834.2952805549744,743.1102767746193,421.05437245071914,-929.7980727602553,291.8177125770058,392.7482343255797,13716.93737020583,7971.492369778135,7760.336394116457,10465.78814235616,1772.7255338125165,-8291.449772779886,7403.395947282927,6392.4620917796865,3822.0440913579127,4578.130339491328,6624.429439878193,3230.359586181013,2460.5769367033877,-3835.0530435657797,5691.3205831338,-669.1857420185886,3755.9412228294273,71.58048359944058,807.1863391362702,-866.5922623562889,-882.7432893298828,-244.27853674492843,6105.831346320027,-289.9078450411596,-2036.9650280581095,-1360.2253979247598,591.9994642415755,940.1026999137998,2295.9265927400847,1444.406530680755,-440.13729930709104,1820.857434878296,-749.1716982569844,1111.2078416394597,1187.0609889304096,-772.0892167399184,691.8533771681255,-685.0735687259429,-59.15404216493313,1367.9961464550527,-856.6773139529392,3481.3310387717866,-197.32375404377004,-124.11332526631762,-264.27429022141314,776.1211377088014,-354.8601998465444,-89.5633218157709,395.3818232219556,984.4212305841316,-141.1267193993627,8.910399255103167,-81.84460641595419,-302.350600579135,-316.96753712788774,61.97245188540346,74.77550781615311,-15.826309929854139,37.734496700828174,176.10189135940416,-246.53140043552995,1.1003685635992173,-49.39637888202752,253.1479150736254,510.2268469134288,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,95898.12430405391
Abdoulaye Bamba,Centre-Back,-3937.2042057399767,-3811.9348745095585,-4661.17327561134,-4181.196961527104,-4090.9786599863105,-4384.369786764792,-3512.6206143528325,-4468.089396043309,-3381.970775808788,-893.2674564169789,-869.6057940158892,-695.0962049434536,-3223.2303272032545,-8273.946420536371,-1497.299652985342,-1432.296017556651,-2373.4328534711713,-146.39732817970648,1158.5365178000247,-3730.7756655432986,-3885.0468798986085,-376.75865633825237,-1026.6825413889856,2377.009046109898,-208.4469454578575,-2080.482436892982,-2786.6644673582023,-4058.050339930824,-3837.6991660410067,-2001.5924237407137,-2010.350267731007,-1663.1659782039503,-3514.763185668895,-1360.2253979247598,-2006.413870473654,178.5580334212163,-1257.9298303460648,-2269.333604663466,-440.13729930709104,-1249.3008468110172,-749.1716982569844,-1367.908165275827,763.6308202234186,-1424.0400698792268,-1578.9879495046737,-1466.524086832755,-803.7631708596094,-1166.6370778569644,-1226.0286558796831,-540.3019448230054,-814.1499283587809,-808.5852417828125,-358.3772089616714,-518.4743665841581,-177.803641792402,-559.9152183192388,-741.0616940897387,33.489013382213315,-47.27283901449253,-509.1656717201817,-189.46780818597773,-302.350600579135,-316.96753712788774,-411.48346799090615,74.77550781615311,-274.62886918456695,-293.13693480921614,331.5757954446048,11.296354526731712,-19.256449862986173,-11.853286062260569,-95.34598442934363,-34.81862997309488,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-107551.28276374226
Abdukodir Khusanov,Centre-Back,1284.2933427834507,2959.292594886581,2684.1653936585,1265.3959962937322,526.805146648462,1135.003411472341,945.7055500180709,814.9336623153658,5167.483297198521,-4802.137930959708,-4674.934632877397,5613.229730486762,940.0662236432214,-8247.691392171097,876.2191737528633,523.8935097774336,851.1136265860715,-419.71711060695617,-2485.392096918754,-1485.2481649870692,-423.79752538842894,-2105.905849952016,1324.6185521939892,422.16750884634297,-604.8857622865861,2477.81141912408,650.9319562452063,-1288.991125564683,2530.706424095521,234.98888698119487,-488.5662150964384,975.6437678735692,1129.7453096792876,-1360.2253979247598,-2006.413870473654,8990.71774569254,518.9983811970101,864.1346345332204,-440.13729930709104,640.0273265362525,3870.7204409944193,-659.5893061571736,-83.22951719056327,-120.13836360060976,-822.0408406137407,5812.857369879611,-307.3570850631586,-1166.6370778569644,482.2213005315071,-540.3019448230054,-444.0542237697744,-435.74281571285184,112.13738473961976,-518.4743665841581,111.53268478387956,-559.9152183192388,-589.5358917815129,33.489013382213315,-610.3961213237138,-509.1656717201817,-155.34337835645803,-302.350600579135,-316.96753712788774,-300.9554309466109,-263.3759553080059,-130.84966959861538,-215.8951720525159,20.62798727420352,-48.89340011602623,21.45718699018461,-11.853286062260569,-147.1178054198069,-34.81862997309488,-35.83665318911508,183.65788500163453,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,16810.014821349316
Abdul Mumin,Centre-Back,9750.216552525319,14808.940666329825,4173.5556879477,2209.1821314855442,2500.8195983396627,1889.4501076342513,-4582.618893801849,2435.2128724383288,-3381.970775808788,5109.640772345066,4974.292065664281,2701.694683365124,8434.000015166877,-8238.939716049339,5029.877120544722,3784.2093886675743,2046.7319843601058,1532.5670495876864,-299.03492808748666,-137.9316646533312,729.9522594482976,5433.175914203994,3172.069411437755,-93.52688441950471,6134.574123801799,673.6478170183902,-1067.866255556498,-491.12660617104893,885.2912390171452,-1149.5614482276058,1540.4791884163199,464.03779669527455,707.5172646476346,2131.4916437364022,1064.4382523716174,831.3106047005735,-591.5817510174118,-760.6266746798761,-1945.4808355926887,-304.63676013738234,-749.1716982569844,-305.42987659784694,-1353.5200233115363,1183.7633426780076,691.8533771681255,-455.7348297163354,685.4550865297433,1367.9961464550527,-25.636794617765617,424.8899712397446,-444.0542237697744,-352.27063077181623,-76.06845274089669,776.1211377088014,-354.86019984654456,380.788574687697,92.33021860550377,-441.97709521874583,-328.8344801691032,1045.062541205673,-404.71421172602476,831.8124817776202,771.6888984084019,-73.30066807925652,-263.3759553080059,147.12344960089098,-56.80019801632741,-134.8459168109971,563.784400874435,21.45718699018461,-105.71101811167796,253.14791507362534,-34.81862997309488,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,75304.87759855977
Adam Masina,Centre-Back,599.9223048701859,2112.8891612120638,1298.6114895829153,842.6812998517931,1513.8123724940624,1042.3520628208785,1005.1498988763497,1396.864927922909,-3381.970775808788,1061.1677808543857,1033.058625414865,760.6713186173653,1356.395878727869,-8168.926307075278,-310.5402396162394,1828.0198613334899,-1576.3539482884817,868.7904351215069,-299.03492808748666,-1485.2481649870692,-712.2349715976105,3081.535730889275,1156.6684740809196,-1508.6882426839197,2566.624772343242,-1830.8486910412894,-130.3399582101138,-1335.924332587838,5.537808336300566,447.99663085947185,1033.2178375381304,-1797.7991285140279,-348.0528479314977,1607.734087487228,3662.851587086847,-582.9866330713671,518.9983811970101,515.9714968446997,-440.13729930709104,403.8613048678438,-749.1716982569844,-305.42987659784694,-506.6596858975542,1835.714195817316,-65.09373172280768,1209.0945349460033,189.04900073329233,2212.8738878923914,-117.97463009945166,907.4859292711197,-73.95851918076787,-466.34928352456524,18.03446599936154,2070.7166420017606,-177.803641792402,-89.5633218157709,168.0931197596167,191.97771624919972,-234.98059978423288,1045.062541205673,25.7785953540692,264.73094059924256,227.36068064025704,-208.57378804391635,74.77550781615311,-15.826309929854139,-151.3348927334829,176.10189135940416,269.12410948899327,184.31173440286776,100.7759923970403,538.2792873942363,510.2268469134288,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,16794.401456189844
Adam Obert,Centre-Back,-5888.929017566695,-3811.9348745095585,-5763.659251385447,-6341.293708432658,-5888.74182134794,-5430.006435831298,18006.23367234406,-4696.297735497247,-3381.970775808788,-3266.510244532207,-3179.9840176103758,275.41547743042565,-1141.5820517800166,-8160.17463095352,-2090.679359669893,-780.2328417786226,-3532.8203519187196,-1825.3617059470994,-3214.1778198625098,-3281.6701654320527,-2731.297095061882,3081.535730889275,1156.6684740809196,-1364.7735282841484,-1001.3245791153146,-2318.397720223016,-1614.7565956752221,3357.396369727656,89.66449840628535,1832.5469660682725,-995.827565974628,-1366.9730475217796,-136.93882541567123,560.2189749888792,6969.92310399714,-2323.6601564829866,2518.0426191829692,-412.46353699135545,-440.13729930709104,1820.857434878296,-749.1716982569844,3236.16441899542,2457.3514950513827,1835.714195817316,691.8533771681255,-421.7587202334307,437.2520436315178,2212.8738878923914,528.3902182723501,-379.4366254792138,49.40671568223431,218.12263299193006,864.9607346616857,776.1211377088014,-0.747083738259527,380.788574687697,92.33021860550377,33.489013382213315,140.43492175524796,526.986470230388,-297.0910099560012,-302.350600579135,227.36068064025704,129.6090118677334,-263.3759553080059,463.43768868998444,85.00184405940591,20.62798727420352,84.96142737309218,82.52764226994078,701.4654775133115,189.78538789126736,-34.81862997309488,176.57380090753307,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-32558.141348333105
Adam Webster,Centre-Back,-5331.293357044776,-2119.1280071605233,-4044.2051622454455,-4699.114894995687,-4531.606885810239,-4344.6620659141645,6949.584784704221,-4228.470639616674,5167.483297198521,-5709.554291121412,-5558.314541898818,-1665.6078873173328,-3223.2303272032545,-8142.671278710004,-4464.198186408098,-4692.611896446791,-2880.664884041974,-4675.696579831278,-5036.142127221899,-587.0371647645771,-1289.109864015974,-3835.0530435657797,-3210.0335568588907,-4291.039387746161,-4172.835113745142,3184.025960197145,-1692.883787120754,-3307.119027560345,4932.609876037607,-2054.844359710283,-1503.0889168528176,1083.3502881216311,1974.2013997425934,-1360.2253979247598,8387.239468387264,-2214.8680612697603,-813.6977774602963,-760.6266746798761,-440.13729930709104,-776.9688034741998,-749.1716982569844,-1722.0675948351536,-506.6596858975542,-120.13836360060976,-822.0408406137407,1718.7361771895764,-1300.1692566560603,1367.9961464550527,159.0388763456062,-1183.7632221981723,-814.1499283587809,-694.5065890300634,-452.4801277019296,-518.4743665841581,176.30947431588285,-559.9152183192388,-286.484287165061,-283.48839235175944,-704.250001708584,-509.1656717201817,-297.0910099560012,-302.350600579135,-316.96753712788774,-479.1200279732361,-263.3759553080059,-6.241029957457369,-340.4042821677939,-134.8459168109971,48.12889094991194,-80.32690514274235,-115.0967913166197,-158.70851161170165,-34.81862997309488,105.77031620865036,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-86197.44732802047
Aitor Paredes,Centre-Back,270.410323652688,-2119.1280071605233,473.86717309036277,-210.2451158225001,-1852.5872728007528,-1445.9984438184044,-4939.284986951521,-1147.6580569885048,5167.483297198521,14.148903744725057,13.774115005531451,760.6713186173653,-308.92274161072146,-7993.892784640123,282.83946706831193,-128.16966600059453,633.7284706271557,-2762.458102840528,-2485.392096918754,-1036.1426648758231,1883.7020442850242,9998.124505344329,-2034.3830100674033,-5610.257603077395,-2983.518663258957,3281.645983454446,-1614.7565956752221,-1617.5235747267675,3399.2578315947244,-2587.3637194059756,18.695135781751247,2375.828531098375,2818.6574898058993,9114.925727058726,-352.87811201850775,-39.02615700523613,-1480.0458567889493,-876.6810539093831,-1945.4808355926887,-1013.1348251426086,-749.1716982569844,-1722.0675948351536,-930.0898546045452,-772.0892167399184,-822.0408406137407,-820.9780066575624,437.2520436315178,-321.7593364196254,620.7280537540362,-862.0325835105888,-690.7846934957787,1358.9091605194208,-546.5830464421878,-518.4743665841581,-531.9167579006869,-795.0911665709729,-589.5358917815129,-283.48839235175944,3237.6129744559653,1045.062541205673,-404.71421172602464,-302.350600579135,1316.0171161765466,1008.8842916380224,-263.3759553080059,-226.7024693225831,699.4773597209166,-134.8459168109971,342.78918233535376,-80.32690514274235,-115.0967913166197,-31.98345724698565,-34.81862997309488,-35.83665318911508,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-10635.500535519277
Alan Matturro,Centre-Back,-6243.788074262463,-7197.548609207628,-6872.505723173634,-6405.9405666991815,-6435.120821369611,-6316.812201495299,291.8177125770058,-5848.749849739636,5167.483297198521,-3545.715278428116,-3451.793220386198,-1665.6078873173328,-4055.8896373725497,-7967.63775627485,-3870.818479723547,-3388.485544890735,-4909.593006325183,-3231.0063012872424,-3214.1778198625098,-4853.539415821413,-4173.48432610779,-3835.0530435657797,-2706.183322519682,-10071.6137494703,-3379.957480087686,-2579.8586619883877,-3411.681998922458,-960.4586764025981,-1652.6393132717058,-723.5459604710517,-2010.350267731007,-1447.7529377078263,-1192.5089379948035,-1360.2253979247598,-2006.413870473654,-800.5708234978197,-1035.8138039031805,-2211.306415048712,-1945.4808355926887,-1013.1348251426086,-749.1716982569844,-1013.7487357165004,-506.6596858975542,-120.13836360060976,-822.0408406137407,-914.412307735551,-307.3570850631586,-1166.6370778569644,1544.1064085708954,-701.1672641667972,-444.0542237697744,-808.5852417828125,206.24030347987798,-518.4743665841581,-354.8601998465444,-89.5633218157709,92.33021860550377,33.489013382213315,-422.6883605539734,-509.1656717201817,-189.46780818597773,264.73094059924256,-316.96753712788774,-343.84690800857624,-263.3759553080059,-159.6055095158057,-245.86958745063842,176.10189135940416,-25.536181896448518,62.170823843355386,147.70485842174898,-63.66472083816465,-34.81862997309488,34.96683150976764,-17.00992491961447,-7.565998140784883,-6.551410799849976,-4.28320904781916,-2.2588450055318496,-1.2392039927415244,,,,,-141102.4084171061
