Attribute,Weight
Mid 3rd,7056
Tkl+Int,6889
Int_stats_misc,6724
Unnamed: 0,6561
1/3,6400
90s,6241
90s_stats_possession,6084
Starts,5929
Blocks_stats_defense,5776
PrgP,5625
onxGA,5476
onGA,5329
Pass,5184
onG,5041
G/SoT,4900
Off,4761
Att,4624
Def 3rd,4489
MP_stats_playing_time,4356
Cmp,4225
onxG,4096
Carries,3969
Att 3rd,3844
FK_stats_passing_types,3721
+/-90,3600
xG+/-90,3481
TotDist,3364
PKcon,3249
Sw,3136
+/-,3025
Mn/MP,2916
Fld_stats_misc,2809
xG+/-,2704
PassLive,2601
npxG/Sh,2500
PrgDist,2401
GCA90,2304
GCA,2209
Sh_stats_defense,2116
Won%,2025
SoT/90,1936
1/3_stats_possession,1849
Ast,1764
G/Sh,1681
Sh/90,1600
PrgR,1521
Tkl%,1444
SCA,1369
PrgC,1296
Def 3rd_stats_possession,1225
A-xAG,1156
PPA,1089
TB,1024
SCA90,961
Succ,900
Tkld,841
G+A,784
npxG+xAG,729
Att 3rd_stats_possession,676
CrsPA,625
xAG,576
Dead,529
KP,484
npxG,441
xA,400
Gls,361
xG,324
Crs,289
G-xG,256
CPA,225
PassDead,196
CK,169
FK,144
Out,121
In,100
PKwon,81
TI,64
OG,49
PK,36
Str,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
