Player,Position,Mid 3rd,Tkl+Int,Int_stats_misc,Unnamed: 0,1/3,90s,90s_stats_possession,Starts,Blocks_stats_defense,PrgP,onxGA,onGA,Pass,onG,G/SoT,Off,Att,Def 3rd,MP_stats_playing_time,Cmp,onxG,Carries,Att 3rd,FK_stats_passing_types,+/-90,xG+/-90,TotDist,PKcon,Sw,+/-,Mn/MP,Fld_stats_misc,xG+/-,PassLive,npxG/Sh,PrgDist,GCA90,GCA,Sh_stats_defense,Won%,SoT/90,1/3_stats_possession,Ast,G/Sh,Sh/90,PrgR,Tkl%,SCA,PrgC,Def 3rd_stats_possession,A-xAG,PPA,TB,SCA90,Succ,Tkld,G+A,npxG+xAG,Att 3rd_stats_possession,CrsPA,xAG,Dead,KP,npxG,xA,Gls,xG,Crs,G-xG,CPA,PassDead,CK,FK,Out,In,PKwon,TI,OG,PK,Str,SoT%,Cmp%,Succ%,Tkld%,Total Score
Abdoulaye Touré,Defensive Midfield,912.7726037754762,6425.84381845686,4254.799477414693,-11565.109529989246,180.0729139157359,4174.421428539228,4069.4087439885698,3349.685139324736,3764.281153708772,1107.14485797573,8662.570816117588,9865.042394397582,-1141.9589773142768,103.8868109876625,2970.5009272063458,7404.996743585389,155.81014807435955,7372.4222695625185,1361.6565980642301,-117.2731627819261,1539.719669829354,556.906561753038,3586.748894184404,-2350.8670325489966,-3828.582814563182,-2840.597552369659,276.5330507772257,-1604.8581599716388,1180.5482074305855,-4873.707444021786,2229.2223446536286,5088.008655430443,-3289.864481617702,3.3828898137916927,-405.94912926320876,76.6074751424067,400.5415641745009,807.1297924615751,4338.187346660181,1149.6223630221718,265.6473112352731,-370.0163038652492,-27.7989410828978,157.4766932776157,2480.746197946729,-77.83271196678234,997.4961155985,481.6413653945493,-623.4408144338988,514.0412568783202,1193.724473940838,-438.7270940993095,-526.9447118315842,-122.58542697090793,627.5355993027059,211.9000947474082,2545.2688283161324,94.82786041390845,-16.52247071668349,198.73847017501373,-504.0167702626932,-323.4946725737709,-374.0871949567576,609.8988085963473,-253.67396795630458,1983.3051220992872,2193.574881645869,-120.29803698098945,160.05433519178243,-159.67669490117737,-88.63028583037475,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,315.6652700602237,-17.284625969517222,-8.654402527576426,381.09786561043376,-4.368824751424669,,,,,66531.07783501102
Adam Wharton,Defensive Midfield,170.10762161270256,-675.7310368741724,-1173.6332129433256,-11405.811726452013,59.80033335261429,-2855.173656614508,-2783.3482657975756,-2543.1270468091984,-4926.6957436628445,2968.4939203073036,-3686.182374001929,-3880.488912793652,-2994.6235417184052,-2352.1542110414075,-4313.330113477707,7404.996743585389,-1796.214777355094,-502.0182240418145,-3249.575070515445,-2057.304838161359,-1363.496575886286,-1842.8359746179256,78.3988829329926,-1962.670354664983,895.1745190000406,1541.1315878965434,-1228.6314883371097,-1604.8581599716388,-2505.2331146056026,405.18062412809377,187.39807721868866,140.59919997292448,827.1103227514255,2576.916315655799,-2396.768146745793,-66.07652997511947,2753.671902217105,807.1297924615751,-2254.594636802775,-2070.5269445427,2367.343165870138,262.27885978037966,-1271.8015545425756,-1059.2856706084237,171.14156028600232,-912.0875288562464,-1191.9491183141993,1335.8940005112536,-393.10870755326334,-626.9502495658667,-3254.674597171354,982.084827416382,865.2782168452212,2832.7879374587724,-804.2344992222395,60.78409092355932,-660.6952705245942,386.97709751420933,64.34727853333384,1196.1455588103631,741.7822210765045,-71.03818303191801,545.9959669903211,-289.64611736201834,248.3329987662828,-230.32927762493668,-197.8721770866842,262.73910010387795,-77.50991480998184,15.673786002569559,243.8659661021389,198.4276237408041,-45.43463351560987,-13.605926694181067,165.8960414097514,-20.66855934918131,-17.284625969517222,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-45884.54767021678
Alberto Grassi,Defensive Midfield,912.7726037754762,1615.0995616197092,4797.642746450495,-11132.729777531049,-2345.6512779098184,3438.7661289301145,3352.2597545923436,4086.286662591478,1719.3454131507442,-1849.1154174920634,1807.7527187451215,2075.9079869892157,-1759.5138321156533,-3053.880217335428,4791.458687377358,5337.142738746411,-1078.0169274329367,-1428.4229879952654,1361.6565980642301,-1558.170475078301,-1004.6720960787346,-1721.6368566193921,78.3988829329926,172.4113736970895,-2371.114987127697,-1486.4246854711828,-1227.3294428880488,-1604.8581599716388,-2505.2331146056026,-3037.572463795741,1645.84398252936,2076.5420303693445,-1759.194362044565,-1359.0759826908004,2912.082566541099,-619.8501162704116,-1805.518127740441,-1276.6620274993184,2925.448350203834,178.6234948949183,-1205.5397870091322,-528.0900947766564,-1271.8015545425756,1779.8265117923354,-1496.906233580078,-578.3856021004607,2097.3104656569717,-701.1699755362721,-47.61054723231014,51.26148503382483,-1169.4875325875141,-438.7270940993095,-178.88897966238287,-1103.9063124572112,-543.9126631267949,-543.6799243718361,-304.47703732006903,-148.6298371696756,-276.46095044888204,-466.1995889152191,-107.62618210931207,-137.47410133240564,-271.85573251819335,-64.7598858724269,-181.95868699593495,46.37502234059129,-66.83398208764018,-103.64424841208218,126.11658519153039,-72.00145444930389,-88.63028583037475,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,315.6652700602237,-11.945630199813023,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-8585.618279128983
Aleksandar Pavlovic,Defensive Midfield,-2057.8873248756186,-4341.059994464383,-8230.59571040875,-11053.080875762433,7396.427747703034,-2528.215745677125,-2464.6153816214755,-1069.9240002757147,-836.8242625467897,2311.5471924255717,-6307.14223476199,-6171.410797325524,710.7055870898516,4314.242848751783,1695.8304950866361,-2934.273280609499,3378.4928079814763,-2354.827751948716,-3249.575070515445,3885.219371374671,1572.3400770845863,2811.2101565257617,4756.198897934874,-3127.2603883170227,9024.775698079067,7509.646564974975,2451.382965858522,-1604.8581599716388,-48.0455665814772,5913.58556480623,479.08725828082294,-2655.762666155238,4574.613029292554,-753.5387060220927,-405.94912926320876,822.9545788340793,-1217.23554322979,-1276.6620274993184,-1312.7686391652094,-643.7530974985718,370.7321039670164,2159.1643507172666,-1271.8015545425756,1779.8265117923354,-727.0380210265025,756.4221049226816,1425.201696176795,-635.4582343734487,-738.6068678742166,-786.5294812363823,-335.41270675397794,77.93178645185104,-178.88897966238287,-282.33533856170163,-543.9126631267949,-997.0279358433826,-304.47703732006903,-586.8536928201268,659.3175765870327,-133.73055937010272,-447.3895433836388,-350.06903989396596,-322.97146373747546,-233.42455948962052,104.90243684554348,46.37502234059129,-165.1126283369232,-120.29803698098945,227.9298351922865,103.349026454443,-88.63028583037475,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,-20.66855934918131,-9.276132314960924,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-4798.135043761327
Aljoscha Kemlein,Defensive Midfield,-7999.207182177807,-8235.472011903981,-6602.065903301344,-10700.350025072852,-4630.830308609129,-3672.568433957966,-3580.180476237825,-3279.72857007594,-2370.52606796531,-3163.0088732555273,-3182.1516315480712,-2047.7514051681544,-1141.9589773142768,-5159.058236217487,1695.8304950866361,3269.288733907433,-2864.3038874957388,-4670.839661832343,-3249.575070515445,-2914.3091219454777,-2831.4149023717223,-2885.1483894053135,-3429.951128318419,-3321.35872725903,-3699.9827121424037,-989.8691698896597,-2276.778074831089,4640.133375570173,-662.3424535875085,-2349.021846210974,-687.669465967714,-3301.0769429540446,-624.3872044299976,-904.9230251892697,1584.8698882193753,-1565.755269077505,400.5415641745009,-582.0647541790204,-1312.7686391652094,485.7761980780293,685.9864821622458,-1476.5328402450998,-1271.8015545425756,765.8578752206355,748.5427197011841,-161.25819365572875,-1731.6728271391898,-569.7464932106252,-1084.1050281951698,-954.0876744904236,-891.4625906430022,-438.7270940993095,-875.0004440007856,82.80731650296913,-283.5908270313503,-543.6799243718361,-304.47703732006903,-148.6298371696756,-328.44864639532176,-133.73055937010272,-220.88063586742098,-230.4843869530883,-67.3928076410647,47.683229872368834,-146.10104651575017,46.37502234059129,-1.314884588118141,-120.29803698098945,58.241085191026315,-72.00145444930389,6.368643293200585,-16.749343037895013,110.96535493235486,-38.2065416260842,2.8241500734224565,-20.66855934918131,-14.615128084665123,-8.654402527576426,-6.12929395967585,93.38362906170231,,,,,-108323.3708796468
Amadou Koné,Defensive Midfield,-2057.8873248756186,11.518142673992093,-1173.6332129433256,-10643.457952380984,-3548.3770835410346,-4081.265822629695,-3978.5965814579495,-3279.72857007594,-3392.9939382443235,-2177.5887814329294,-1922.0747754134263,-5255.042043512776,-1759.5138321156533,-3755.606223629448,-4313.330113477707,-5002.127285448476,-3251.0258066845927,4130.00559572544,-1273.3329268384414,-2725.956532102814,-1885.4230919699967,-1951.9151808166055,-4599.401132068889,-3321.35872725903,543.8206677432723,-856.8978245275911,-2019.841106216416,4640.133375570173,-1890.9362275995716,175.66375159983812,-2437.80455234052,4657.7991375645715,-518.8237479077123,-1661.844621025154,-1733.1618075849315,-1516.8635470442273,-1070.164897102127,-1276.6620274993184,-1783.681637983992,-1921.904668808937,-154.69185969169993,-686.1638856880637,-1271.8015545425756,-1059.2856706084237,941.0097728395774,-1078.9384922341392,1842.7238105508438,-701.1699755362721,67.5555062080076,-539.181672147083,-335.41270675397806,-567.8918142370997,-178.88897966238287,-31.299763204740387,497.3746812549836,-241.44791672413837,-660.6952705245942,-538.16215330341,-484.4117342346409,-466.1995889152191,-447.3895433836388,-376.64340721416096,-322.97146373747546,-177.2030016172226,-289.5316084364894,-230.32927762493668,-132.35307958716217,-186.91319125661857,-145.3854148104859,-159.67669490117737,-88.63028583037475,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,-20.66855934918131,-14.615128084665123,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-88310.94151763935
Amadou Onana,Defensive Midfield,1655.4375859382499,1615.0995616197092,997.7398631998818,-10632.07953784261,-3307.8319224147913,-1383.8630573962844,-1349.0502870051264,-333.3224770089729,-2881.760003104817,-2944.026630628283,-863.6102162603256,243.170479363718,-3612.178396519782,-1299.5652016003776,4791.458687377358,-2934.273280609499,-1860.6684305532365,1813.9936858418127,-614.5855456127737,-1435.7412916805697,-1102.5333178444307,-1212.6005610255513,-1091.0511208174778,-3127.2603883170227,-969.7036145935771,-435.2901139430251,-1394.4252755175237,-1604.8581599716388,-3119.5300016116344,-971.9206110414402,-687.669465967714,785.9134767717312,-439.6511555159983,-1813.228940192331,4239.295244862822,-1397.1287175749749,841.7535025574891,112.53251914127738,99.97035729113826,723.5718392520505,896.1560676257326,104.20506886897245,-1271.8015545425756,1779.8265117923354,780.6205618909164,-828.6620471672999,182.8188192588909,-766.8817166990955,182.72155964832535,-307.79178622483533,-335.41270675397806,-567.8918142370997,-526.9447118315842,-670.2994095679145,237.05284515953898,-543.6799243718361,51.741195884456154,94.82786041390867,-334.2250570560373,-133.73055937010272,-447.3895433836388,-389.9305908742585,-322.97146373747546,553.6772507239498,-289.5316084364894,323.0793223061193,293.5210541597311,-186.91319125661857,92.17883519127835,-159.67669490117737,6.368643293200585,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,-20.66855934918131,-17.284625969517222,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-39634.73154943576
André,Defensive Midfield,11310.082354054308,8487.591357101353,4254.799477414693,-10302.105516229776,2585.5245251781685,5318.774116820067,5184.973838604918,6296.091232391703,9899.088375382853,1326.127100602974,5386.370990167514,7574.120509865709,10591.58326391187,3261.653839310753,-4313.330113477707,-866.4192757705216,2061.7967497908544,5982.815123632341,3996.6461229669017,2510.245465523228,789.4503029590207,2011.2959777354401,1247.8488866834632,560.6080515811027,-941.1465526626931,-1656.8462860075576,1562.5199392996533,4640.133375570173,4252.032642460743,-1660.471228626207,1062.4656204050914,2506.751548235216,-2181.448188133706,1063.07312398403,-1733.1618075849315,888.808735042168,-481.88231259147574,112.53251914127738,1041.7963549287033,-2744.2812612024272,-1836.0485433995918,-211.942512953842,-1271.8015545425756,-1059.2856706084237,-1625.217602339007,-828.6620471672999,223.55268407587118,613.0648477201961,-853.7729213145343,769.3680275511452,-891.4625906430022,-697.0565343748898,517.2224846760198,-156.8175508832209,367.2137632072613,211.9000947474082,-660.6952705245942,-440.77907426997643,-299.56659309174415,-466.1995889152191,-220.88063586742098,-97.61255035211306,34.83865479749961,-289.64611736201834,-217.8163274761198,-230.32927762493668,-197.8721770866842,-203.56697982552583,-77.50991480998184,-159.67669490117737,53.868107854988246,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,-20.66855934918131,-14.615128084665123,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,80455.66656435409
Angelo Stiller,Defensive Midfield,5368.762496752118,3676.8471002642027,2083.4264012714852,-10154.18612723092,18822.32290119959,9487.487481271703,9248.81811185019,7769.2942789251865,3253.0472185692647,17640.304176332644,9973.05074649762,10323.226771303956,2563.3701514939803,8524.598886515903,1695.8304950866361,11540.704753263342,12088.943654473282,1350.7913038650872,4655.39350419257,10901.353343013881,8031.180713620504,9355.962528446573,2417.298890433933,8518.639948203374,693.4466424229606,1160.3222334985942,8539.31347051734,-1604.8581599716388,-48.0455665814772,405.18062412809377,3250.1344783710983,4227.5896196987005,1249.3641488405667,7118.445890671105,2248.4762273802376,7091.07290154944,841.7535025574891,2196.324339102171,1041.7963549287033,-1049.987317837525,-1205.5397870091322,2159.1643507172666,4948.211512755814,360.2704205919558,-983.6607585443609,2508.357220390556,-275.43715993213914,3832.9401646985434,1795.0463078127739,1670.9906864895586,-474.42517772623404,3952.873390585555,3301.6683420296304,1566.199352703195,1408.5011075890397,60.78409092355932,1476.6141287025569,2383.330217699598,1699.0714955158269,2193.5526474457124,2440.599027448137,1430.4135705591016,1670.5420538145288,328.79101923435803,2005.3573822953385,46.37502234059129,162.48285916068684,1012.1595857047055,-111.44766481023387,103.349026454443,528.8627534728649,499.67537723098286,-45.43463351560987,133.99776289723778,312.66074361244745,315.6652700602237,1.4018592244474717,212.65103353473506,-6.12929395967585,-4.368824751424669,,,,,249912.91560233914
Anthony Losilla,Defensive Midfield,-3543.2172892011663,-1362.980216422337,-87.94667487172191,-10051.780396385559,-5833.556114240346,-2201.257834739742,-2145.882497445376,-1806.5255235424563,1208.1114780112375,-3163.0088732555273,1606.1404217635793,3908.6454946147137,710.7055870898516,-4106.469226776458,239.0642869498257,-2934.273280609499,-3591.7094021604876,-38.815842065089065,-614.5855456127737,-3451.114002997068,-2537.8312370746353,-3539.6236265973944,-1091.0511208174778,-2350.8670325489966,-6342.714816889392,-4305.8669029430675,-2821.9011028378955,-1604.8581599716388,-2505.2331146056026,-4644.19057149353,-1271.0478280919826,-1795.3436304234956,-2894.001519659132,-1056.3073443564465,-2396.768146745793,-1486.929839676914,-1364.3061893574527,-1276.6620274993184,570.8833561099208,49.817522592323705,-2361.472507058308,-1792.6804220679142,-1271.8015545425756,-1059.2856706084237,-1881.840339856866,-828.6620471672999,-275.43715993213914,-766.8817166990955,-1314.4371350758056,-762.5925964858048,-613.4376486984901,-180.39765382372923,-875.0004440007856,-556.1923298602048,-934.3954172699619,-392.5639205479872,-660.6952705245942,-635.5452323368437,-443.97685960963224,531.2074997201302,-334.1350896255298,-336.78185623386844,-220.74000129891118,-402.08923310681405,-181.95868699593495,-230.32927762493668,-263.3912745862062,-136.95182554989674,-9.634414809477763,-72.00145444930389,-88.63028583037475,-59.78473639363484,-45.43463351560987,-38.2065416260842,-29.790228193843337,-20.66855934918131,-17.284625969517222,-8.654402527576426,-6.12929395967585,-4.368824751424669,,,,,-101508.31245762846
