Attribute,Weight
TI,7056
Dead,6889
CrsPA,6724
90s,6561
90s_stats_possession,6400
Crs,6241
Starts,6084
Def 3rd,5929
MP_stats_playing_time,5776
onxGA,5625
onGA,5476
Pass,5329
Unnamed: 0,5184
Tkl+Int,5041
onxG,4900
Att,4761
Blocks_stats_defense,4624
Att 3rd_stats_possession,4489
onG,4356
PassLive,4225
PPA,4096
KP,3969
Carries,3844
SCA,3721
+/-90,3600
Off,3481
Cmp,3364
1/3_stats_possession,3249
xG+/-90,3136
GCA,3025
xA,2916
Int_stats_misc,2809
Mid 3rd,2704
TotDist,2601
PrgP,2500
Ast,2401
Fld_stats_misc,2304
xAG,2209
PrgC,2116
PrgDist,2025
PrgR,1936
+/-,1849
Att 3rd,1764
npxG/Sh,1681
G/SoT,1600
Mn/MP,1521
GCA90,1444
xG+/-,1369
Def 3rd_stats_possession,1296
A-xAG,1225
PKcon,1156
Sh/90,1089
PassDead,1024
Tkl%,961
FK_stats_passing_types,900
Won%,841
1/3,784
G/Sh,729
SCA90,676
npxG+xAG,625
CK,576
G+A,529
In,484
Tkld,441
Succ,400
Gls,361
SoT/90,324
Sw,289
FK,256
npxG,225
xG,196
Sh_stats_defense,169
TB,144
Out,121
G-xG,100
CPA,81
PKwon,64
OG,49
Str,36
PK,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
