Player,Position,TI,Dead,CrsPA,90s,90s_stats_possession,Crs,Starts,Def 3rd,MP_stats_playing_time,onxGA,onGA,Pass,Unnamed: 0,Tkl+Int,onxG,Att,Blocks_stats_defense,Att 3rd_stats_possession,onG,PassLive,PPA,KP,Carries,SCA,+/-90,Off,Cmp,1/3_stats_possession,xG+/-90,GCA,xA,Int_stats_misc,Mid 3rd,TotDist,PrgP,Ast,Fld_stats_misc,xAG,PrgC,PrgDist,PrgR,+/-,Att 3rd,npxG/Sh,G/SoT,Mn/MP,GCA90,xG+/-,Def 3rd_stats_possession,A-xAG,PKcon,Sh/90,PassDead,Tkl%,FK_stats_passing_types,Won%,1/3,G/Sh,SCA90,npxG+xAG,CK,G+A,In,Tkld,Succ,Gls,SoT/90,Sw,FK,npxG,xG,Sh_stats_defense,TB,Out,G-xG,CPA,PKwon,OG,Str,PK,SoT%,Cmp%,Succ%,Tkld%,Total Score
Aaron Cresswell,Left-Back,-6383.740139530209,-4079.0299976030865,-6123.906654850258,-6066.503910027247,-5917.638321014233,-3095.663723090593,-5358.548363205896,-6921.353327548139,-3635.9433553150043,-5130.820848057306,-5863.03048066427,-5489.763613624888,-9079.838199355503,-5358.984207252379,-4890.444465530043,-3126.415705301676,-3889.697223772167,-4808.879444833749,-4801.242311853153,-4441.641091258999,-3629.5403870424007,-2487.1416279183445,-3276.668845968899,-3048.78752813554,-439.82104582364303,-3813.8324684601707,-2064.928511664331,-2641.320521309915,-789.3924255790557,-3087.527993407527,-876.9037056087565,-2231.1423072909565,-2283.43028664336,-1172.2367629957544,-1943.1267733985524,-1939.8647887643328,-2710.1184486940238,-706.6045861970571,-2288.7549233366753,-524.1718433542321,-2505.6573983955973,-168.3673929803899,-1510.7847864006187,-1148.0553876272343,17.16973366465739,-1809.2563965097158,-1625.4402248866245,-236.65802470995646,-527.6662869208853,-1090.3943734686081,-494.74601757042456,-518.4506157401817,371.4543496028428,1097.4256062252655,762.1133697361581,273.84074679318167,-55.925747546069495,-424.5906337355454,-164.13162938796665,-359.90289227481867,-2.9244940925971235,-524.046381134996,116.97766831380144,-525.68800968912,-374.3376102129323,-252.01585745390145,-264.74287116317464,89.5410709836968,280.14788241529084,-176.0001866539626,-153.57693406459617,-17.755262409788365,-0.6258508863662121,-17.37725582903237,-17.502567810000834,-72.04539913248355,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-158486.4542300289
Aarón Martín,Left-Back,12328.354271596858,20723.2692312988,8869.729107762467,11038.705580560318,10767.827421976228,24782.623340223017,9965.976791397026,9951.629176323228,7596.685620782214,6564.498338730684,5868.078289945944,4898.718766052861,-9061.691531712513,6477.574673797365,3728.0220211678666,6927.817505556643,5099.929895091111,7528.32760433696,1861.628189388922,3174.715141869561,3283.8698739907436,12991.36640688488,3523.736917510264,8417.262986740478,-912.765057655378,3380.4424152260603,3812.4349011103227,1452.6029757717463,-385.81505731780567,4562.168229064853,7911.806154971487,598.2665774324875,5394.543193178771,3798.922174914076,1826.4530320177805,3382.7394250353245,2125.1309465576514,4790.7549220733235,1419.7205991024473,3713.183791471728,1440.5569432481732,-1203.5150683413058,448.51423346268376,-354.81004175368236,-1620.8623285957494,1608.8380096429337,505.44291297066775,-584.0784446583143,1473.46532674451,-554.0517351698895,1724.925304502291,-518.4506157401817,5785.627991618914,432.53923934689584,3664.847275117472,-389.8435345798835,600.2501699970804,-424.5906337355454,668.5212552828515,1004.1039462280445,2632.462468207805,416.40442176672644,1714.3693754678204,72.69514191129548,116.00706428406514,-252.01585745390145,-77.16286122926677,-71.14885099785637,674.2542254740898,-8.895716527312189,-12.859733014446824,184.11963896177792,-104.51709802315614,703.7788610758109,-100.1752471510881,-11.25995437521662,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,253724.67392439803
Abner,Left-Back,-3299.3289728609125,-3511.657139425592,-5124.330937342743,-3307.5991534808654,-3226.434168918997,-3095.663723090593,-3268.840387578225,-3230.388404826277,-2887.1014235751895,-2903.1410029548315,-3349.221458390653,-872.6603337681108,-8943.73819203307,-2954.68318453915,-1115.098526666799,-1955.1493621810682,-1935.4304588018892,-1326.3855513041617,-1945.7263827494073,-1493.374162306008,-1209.8467956808001,-1223.5899516078769,-1523.8510813512078,-1774.7819153715384,849.0507444035131,-936.1225149856784,-1097.2055328237911,-1413.1434721854164,1685.4065035313868,-2131.3159655984796,1424.9012578765448,-2514.0831957633013,-667.0148172071221,-1185.6635304659644,-123.32962595618476,-609.2137353144185,-2105.712274287564,-706.6045861970571,-434.517162117114,-428.6669109086545,-512.2089165343114,275.2673250314311,448.51423346268376,-1544.6780605640106,541.3399935879877,-442.0186340486561,-864.4105327947343,444.82049134259165,-834.9561601803655,-17.70909687117094,-494.74601757042456,-194.38412004890088,-230.12049951005395,500.8920434185045,-447.3590908393891,-125.33168330800964,-177.43980635035652,609.2271129441001,-48.284271520722456,-326.6344327991391,-106.95292681498141,-53.820979684134755,67.05917746523836,-226.49643388891226,-240.60724444102394,74.81720768162697,137.21429298091365,-71.14885099785637,-113.95846064350815,-148.14944163285418,-130.1240672229046,-138.88020323272815,-0.6258508863662121,-51.71802330069158,106.50645120163004,3.936406814100112,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-80242.48356235455
Adam Aznou,Left-Back,-6486.553845085852,-6672.734492128774,-7123.482372357773,-7170.0658126458,-6994.119981852327,-5826.011425167699,-6055.11768841512,-2175.826998334316,-8877.836877493706,-5594.920815786988,-3349.221458390653,-1449.7982437502083,-8916.518190568584,-3694.468114604759,-5691.275422258609,-5582.965469191802,-1935.4304588018892,-5213.820595244167,-5435.801407209542,-4441.641091258999,-4666.551926197372,-4382.469142384045,-4199.204511557158,-3685.7903345175414,-6307.319221282309,-936.1225149856784,-3920.4707371475674,-3255.409045872164,-1965.274117892633,-3087.527993407527,-3178.708669094058,-1948.2014188186124,-2283.43028664336,-3011.2970346729876,-2658.0470813223396,-1939.8647887643328,-1299.837375078952,-2434.346145939178,-2010.6192591537413,-2391.0229756866556,-1814.0528230559678,-1351.3933076785793,-2163.884459688386,1231.6806499934223,17.16973366465739,13.727286771697155,-1625.4402248866245,-383.6435869958001,-1299.63840754836,89.55943078857278,-494.74601757042456,-1143.4360002876522,-230.12049951005395,-195.06377985605076,-689.2535829544986,1692.5861308877777,-736.4044768500769,-424.5906337355454,-359.6240457889414,-725.8559465072942,-245.65750377816047,-524.046381134996,-132.61478592901398,-276.36169652228017,-106.87687866911553,-252.01585745390145,-264.74287116317464,-231.83877297940953,-113.95846064350815,-176.0001866539626,-153.57693406459617,-98.50522295841489,-104.51709802315614,-51.71802330069158,-17.502567810000834,-56.84903794316682,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-181686.38918459532
Adama Boiro,Left-Back,-1654.3096839706207,-3106.3908121559534,-3125.1795023277123,-4017.0318051642203,-3918.4580937434857,-3383.068744361867,-3268.840387578225,-4284.949811318237,-4384.785287054819,-5873.380796424797,-5444.062310285334,-4335.487793660694,-8853.004853818114,-3509.521882088357,-1839.6598684688365,-3613.579582528832,-3498.8438707781115,-3378.087380050275,-2263.005930427601,-3704.574359020751,-3283.8698739907436,-3750.6933042288115,-3078.982631914272,-3048.78752813554,2522.1824472449766,-3813.8324684601707,-2402.2998253885553,-1208.4472973313334,3881.933110658904,-3087.527993407527,-2760.198675733094,-1382.3196418739235,-1879.3264192843005,-1922.9151261029435,-1293.199220740564,-1939.8647887643328,-1501.3060998811047,-2120.2113168951555,-1361.6360427268946,-1627.8845060507665,-1773.370200977166,866.7802823805258,-857.6851131128512,-354.81004175368236,17.16973366465739,-214.1456736384795,-1625.4402248866245,1046.125064330134,-1119.761408567201,-124.97762453091465,-494.74601757042456,-819.3695045963711,-530.9079240665023,389.04200039223645,-749.727205983276,1230.892717758689,-226.04542987207137,-424.5906337355454,-533.3950825898078,-626.0505680802555,-315.00979225974993,-524.046381134996,-232.4517676261402,-176.6311712555443,-151.45366725975165,-252.01585745390145,-264.74287116317464,-231.83877297940953,-113.95846064350815,-148.14944163285418,-130.1240672229046,-58.13024268410163,-104.51709802315614,-51.71802330069158,-31.281347700182042,-41.65267675385008,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-122306.20145655572
Adrien Truffert,Left-Back,6262.345643813907,5809.468387776097,9869.304825269983,8200.974973826898,7999.7317226782725,7825.727085217832,7179.699490560131,3096.9800341254854,6099.001757302583,6842.958319368495,7124.982801082751,12401.511595820126,-8771.344849424655,5737.789743731756,4528.852977896432,5414.499929489309,9008.463425031667,7960.264831441405,3448.0259277798928,4403.159695599974,7086.245517558973,3514.7288345563757,4393.556259350622,3958.2433420664693,-767.8478004943934,1941.587438488814,3563.8455120503672,4113.653248874826,-223.16777681012059,737.3201178286629,1843.4112512375093,2578.852796738898,2969.919989024413,2376.0916948133495,2346.3950741441713,-1939.8647887643328,1923.6622217554984,549.93472997903,2254.1275916512495,1381.4218559136616,5305.406040734341,-907.7585896667581,5673.311619764823,1231.6806499934223,-769.0856562203378,1229.0497422926392,-407.79271753960035,-383.6435869958001,589.070081753811,-1948.5425947465576,-494.74601757042456,291.7156234880207,221.06063732461863,525.7476085354523,-24.043729637947603,249.79421485937493,41.28549949736012,-120.52659059447316,161.68906461365765,538.3455135685301,413.18923679694,-288.93368040956534,17.14068661667527,371.88671771150325,116.00706428406514,74.81720768162697,177.41000939532253,9.196109992920219,-113.95846064350815,353.16396874709704,315.480402769235,62.99469813883815,-0.6258508863662121,154.32658152926368,-155.29036671181296,95.1145739500005,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,177610.3941369749
Adrià Pedrosa,Left-Back,6673.600466036481,5728.415122322169,-126.45234980516737,4890.289265971239,4770.286740163989,3227.2467448774423,5089.99151493246,7842.506363339307,3852.4759620831405,2573.2386162554167,840.460245398709,8938.684135927542,-8753.198181781665,4258.219883600538,334.024156937273,2035.4483555307388,7445.050013055444,1157.253504546397,275.23045099795155,-19.240697829512513,-518.5057695774858,-1223.5899516078769,360.75749263623464,295.47720536996457,-57.99415144688533,4819.297391963307,900.3877721222769,3908.9570740207428,-683.262528429348,-218.89190998038455,-1504.6686956502022,598.2665774324875,1353.5045195881755,775.8651354092439,916.5544582965967,-609.2137353144185,311.91242333827336,-1177.8068297630898,399.88983043168855,812.897210883855,586.2218795933362,-168.3673929803899,1754.7135800382189,-1544.6780605640106,17.16973366465739,773.303821472286,-483.89568674878944,-624.1654161908172,1128.7010786972885,304.0964861080602,-494.74601757042456,453.748871333661,-79.72678723182975,-64.57206299207203,822.5869927649355,-1015.053364858858,162.79955830164715,-59.713781966258765,-316.18128658872473,-326.6344327991391,-245.65750377816047,-53.820979684134755,-132.61478592901398,122.56040454466341,160.58385287470125,74.81720768162697,3.2285715995508983,330.57595395602664,-113.95846064350815,-64.59720656952898,-59.76546669782993,143.7446586874647,-0.6258508863662121,-51.71802330069158,65.17011153108643,-26.456315564533348,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,71432.3807077933
Aihen Muñoz,Left-Back,-420.5452173029019,-2214.8048921627487,-6123.906654850258,-5199.419557969813,-5071.831301784302,-4676.391340082601,-4661.979037996673,-3230.388404826277,-2138.2594918353752,-4898.770864192465,-5863.03048066427,-5489.763613624888,-8744.124847960169,-2954.68318453915,-4585.366005823922,-3872.70930445817,-3107.990517784056,-4187.969680871109,-3849.403668818572,-4687.330002005081,-4666.551926197372,-4382.469142384045,-3461.1759790865503,-4322.793140899542,1079.1010868239207,-2374.9774917229247,-2970.5041432398816,-2231.9281716017485,-477.62658425478594,-3087.527993407527,-3178.708669094058,-816.4378649292347,-1475.2225519252409,-2303.747076167079,-1943.1267733985524,-1939.8647887643328,-1098.3686502767985,-2277.2787314171665,-1361.6360427268946,-1394.5281145092135,-2220.879043843985,275.2673250314311,-2163.884459688386,-2337.9234064375623,17.16973366465739,-1733.2987430396572,-1625.4402248866245,-196.57105317745362,-774.9971605199793,-17.70909687117094,1724.925304502291,-379.5649747296327,-681.3016363447265,-306.9138228823188,-810.2008290120533,249.79421485937493,-444.770735719788,-424.5906337355454,-1112.6318719260291,-692.5874870316145,-315.00979225974993,-524.046381134996,-232.4517676261402,-326.22695915564816,-240.60724444102394,-252.01585745390145,-264.74287116317464,-151.49381198863296,-113.95846064350815,-176.0001866539626,-153.57693406459617,62.99469813883815,-104.51709802315614,-51.71802330069158,-17.502567810000834,-41.65267675385008,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-147260.73235864865
Alberto Moreno,Left-Back,1635.7288938099625,1027.3257259943607,2872.274802717378,1185.4743071803841,1156.384021636101,-796.4235529203985,2303.7142140955643,-593.9848885963756,108.26630338406825,-443.4111739875171,2097.3647565355177,-2604.0740637144027,-8626.171508280728,-1475.1133244079317,-733.7504520341481,1413.5370229003274,-2717.13716479,-111.5621000729102,-1628.446835071213,717.8260344087353,1209.8467956808001,355.84964378020715,1981.7844478841746,-182.27489941653613,-2199.4826148681964,502.7324617515679,1255.5154707793556,838.514451209497,20.930067420821338,-1175.1039377894322,-458.3937122477927,-533.4969764568903,-667.0148172071221,1258.8218925952783,656.5834372334014,-1939.8647887643328,-493.9624758703392,-863.6720007190681,-712.6528263000482,1000.3031160600829,-512.2089165343114,-1499.2715470158528,-2163.884459688386,-1544.6780605640106,-1620.8623285957494,697.3461680022272,-636.1016251671674,-129.7594339566156,356.72895806981376,-983.1258458088645,-494.74601757042456,37.09194830201402,-230.12049951005395,34.85019747572162,399.27163156349394,-832.299722161927,284.31361710593416,-424.5906337355454,-106.20795045434465,-326.6344327991391,-315.00979225974993,-524.046381134996,-232.4517676261402,-376.09222178901615,-285.18403303166,-252.01585745390145,70.22143229023227,89.5410709836968,-113.95846064350815,-120.29869661174578,-106.67120038121303,-98.50522295841489,-0.6258508863662121,-51.71802330069158,-45.06012759036325,-11.25995437521662,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,-17463.297290063914
Alejandro Balde,Left-Back,5131.394882701832,4107.349813243614,3871.850520224893,6703.283820273147,6538.792325826573,2365.031681063619,6483.130165350907,-3757.669108072257,6099.001757302583,1366.5787001582444,-416.44426573809955,3744.4429460886668,-8608.024840637736,-4064.360579637563,14062.554843712702,5746.185973558861,2363.9564241327216,7744.296217889182,13283.69190580391,8088.493356791213,7431.91603061063,3514.7288345563757,6660.358180510343,6506.254567594474,7020.379203298107,1941.587438488814,4851.183419682278,8616.969095664654,6468.517248914291,8387.016340301043,2261.9212445984735,-2514.0831957633013,-2283.43028664336,2929.4372632826053,1956.4385425493783,3382.7394250353245,4139.818194579183,2905.9459478091935,6240.738778273307,249.77850542643966,6607.2499472559975,6338.275137859651,-204.58543982508374,-1148.0553876272343,-1620.8623285957494,773.303821472286,2408.0171432003926,4533.69158765788,19.459584980140363,733.170596747035,-494.74601757042456,-356.4173678945412,-230.12049951005395,432.53923934689584,641.1661236786034,745.1527726957934,89.89112301907494,-424.5906337355454,813.3304526169069,538.3455135685301,-315.00979225974993,416.40442176672644,-232.4517676261402,1618.5182835457022,1453.310722003149,-252.01585745390145,-90.56143336740305,-71.14885099785637,-113.95846064350815,-64.59720656952898,-59.76546669782993,-17.755262409788365,103.2653962504237,-51.71802330069158,-72.61768737072568,110.31093513931724,-19.184280038044225,-11.23112968611519,-5.031972021899184,-2.609622047814141,,,,,184038.11963436013
