Attribute,Weight
CPA,7056
PrgC,6889
Tkld,6724
PrgR,6561
Succ,6400
1/3_stats_possession,6241
SCA90,6084
Att 3rd_stats_possession,5929
xA,5776
xAG,5625
SCA,5476
PassLive,5329
PPA,5184
SoT/90,5041
GCA90,4900
GCA,4761
Ast,4624
Unnamed: 0,4489
Starts,4356
90s,4225
90s_stats_possession,4096
onxG,3969
KP,3844
npxG+xAG,3721
Sh/90,3600
Fld_stats_misc,3481
MP_stats_playing_time,3364
A-xAG,3249
Won%,3136
onG,3025
G+A,2916
Att 3rd,2809
Mn/MP,2704
xG+/-90,2601
+/-90,2500
onGA,2401
Tkl%,2304
CrsPA,2209
G-xG,2116
onxGA,2025
PKwon,1936
Crs,1849
Carries,1764
npxG,1681
Gls,1600
Pass,1521
PrgP,1444
TB,1369
Att,1296
xG,1225
Off,1156
Cmp,1089
Tkl+Int,1024
Mid 3rd,961
Blocks_stats_defense,900
Def 3rd,841
TotDist,784
+/-,729
Int_stats_misc,676
xG+/-,625
PrgDist,576
1/3,529
Def 3rd_stats_possession,484
Dead,441
CK,400
FK_stats_passing_types,361
In,324
G/SoT,289
npxG/Sh,256
PassDead,225
Sh_stats_defense,196
Sw,169
Out,144
G/Sh,121
FK,100
PKcon,81
TI,64
PK,49
Str,36
OG,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
