Player,Position,CPA,PrgC,Tkld,PrgR,Succ,1/3_stats_possession,SCA90,Att 3rd_stats_possession,xA,xAG,SCA,PassLive,PPA,SoT/90,GCA90,GCA,Ast,Unnamed: 0,Starts,90s,90s_stats_possession,onxG,KP,npxG+xAG,Sh/90,Fld_stats_misc,MP_stats_playing_time,A-xAG,Won%,onG,G+A,Att 3rd,Mn/MP,xG+/-90,+/-90,onGA,Tkl%,CrsPA,G-xG,onxGA,PKwon,Crs,Carries,npxG,Gls,Pass,PrgP,TB,Att,xG,Off,Cmp,Tkl+Int,Mid 3rd,Blocks_stats_defense,Def 3rd,TotDist,+/-,Int_stats_misc,xG+/-,PrgDist,1/3,Def 3rd_stats_possession,Dead,CK,FK_stats_passing_types,In,G/SoT,npxG/Sh,PassDead,Sh_stats_defense,Sw,Out,G/Sh,FK,PKcon,TI,PK,Str,OG,SoT%,Cmp%,Succ%,Tkld%,Total Score
Abdallah Sima,Left Winger,-928.917408598672,-2498.201974344096,-4961.133285037411,-2574.133820708839,-5481.6845344110025,-4179.493128838025,-6338.524648696319,-2847.3881826067754,-4763.807520905198,-3912.705393763032,-3662.752333904048,-3774.374552587508,-4676.3528622238955,5832.929951391397,-1937.545718158544,-2253.647838517311,-559.8344904120725,-7750.452996129842,-862.0107177926244,-883.0181059514533,-856.0573164442965,-602.6814717627875,-2351.8156087424527,309.77852593569503,3234.5075419667673,481.1455009050743,206.71496851538984,3320.542361058249,1612.7117352729676,-441.5778919956835,1188.3668357221056,969.9038105703177,-1117.2391776460022,-302.2406850894229,-216.76910891564737,212.58047596710307,436.0021972644089,-2013.1720288652987,754.212365994102,141.02912916198096,-893.4341596262414,-1279.6446845120433,-893.6997369622945,1278.1695562454456,1190.5751059373902,-1239.7323425388704,-850.3841623170367,-1062.0061382855013,-734.9118897968441,766.5134659378856,-1057.7592425880823,-644.457894973327,-890.5948927697865,-723.733480521981,-803.1184896752584,-908.5003995571939,-526.6160058661536,-176.74530764646659,-640.2877828011182,-161.52231209030484,-420.62676388406067,-356.4083713443323,-165.75844717798591,-300.0962572922589,-223.50292445762517,-138.17672701147478,-181.09635132329547,221.60280793637278,338.5578284608208,-120.92020317776921,-137.03691382143816,-79.14348968800009,-69.20485513007685,123.47776530447884,-37.911263693057414,-23.042099647479688,-29.628330805855487,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-65920.25939916837
Abde Ezzalzouli,Left Winger,9684.973677476586,10400.566652710026,3792.0444746660573,6407.812366267664,7937.846864221613,12346.919284775668,-1495.3715360441818,5853.771859471972,-1928.7019445986828,-1721.0667454469171,2048.9896233722247,1640.2261901150712,-985.8257385228749,3213.605774834245,-3067.189677630681,-1199.0562217752356,-2710.7775325216126,-7742.681570931465,3592.9827263745665,3307.1241171168754,3206.149203245141,2489.2597830787963,937.606664944486,2769.0341561486175,3327.5135687766438,3118.414014398417,2218.7406620651896,-1795.009234838417,179.35094784314688,6.13302627771765,-2012.7689210200983,-800.1706437205121,1340.5098142572563,512.5529471934029,-691.4489170493363,1714.3586771540556,2102.5354361175664,-1515.8401909391844,-9456.34765979752,1429.284610181403,2451.216796923278,33.201591814366665,1699.0350996450998,2651.508737677078,-1059.5733143455739,930.5425017138285,730.6625858748083,-288.6749852197498,846.0340721093382,2062.372026891551,14.691100591501204,563.5907903644484,961.0533494762569,1581.6866247044024,747.5619715695435,1351.438995409456,98.26877079458792,-427.27749130068133,-137.01986199916257,78.22952986017306,159.27753820249706,345.6372602837372,123.10972204200553,-139.26858295943842,-203.1210212903464,-99.52959646803548,-181.09635132329547,-357.27799646884597,210.33618655348016,-120.92020317776921,265.79643016372904,24.02570222671432,-69.20485513007685,-122.02046984468925,17.998276702764628,-23.042099647479688,8.851161834514278,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,73161.80397781686
Adrian Benedyczak,Left Winger,-8004.8447993155105,-8848.36499073997,-8608.290684913856,-8814.222750608304,-7718.273100849771,-7993.2806089027235,-10213.047138818032,-8443.187220268726,-6968.889635810265,-6378.298873118662,-7232.591057201719,-6727.793139516187,-6521.6164240744065,-9883.015107951513,-7209.217529028516,-5417.422688743536,-4861.720574631153,-7540.62451577365,-5873.878342480713,-5958.401643752529,-5776.476481138547,-5208.385632620562,-4629.10795206418,-4335.482108910938,-3275.914334724587,-3354.881427812515,-6332.3685355214575,194.3719413436197,1235.5115280545938,-3351.698860772791,-3293.2232237169796,-3455.2823251567565,-3833.6985897496033,-6496.7633928387595,-2292.2829615032165,-2790.975926406802,-5390.302984237966,-2510.5038667914127,-464.95898036907687,-2304.4728009087853,-893.4341596262414,-2037.0559977772798,-2533.682615539261,-1757.6328448139527,-1622.110419416315,-1890.8147958146799,-1684.8255016405105,-1062.0061382855013,-1757.347027553834,-1249.2665177678152,-1057.7592425880823,-1441.672209588944,-1576.3905380460988,-1300.0885068285768,-1041.684714482151,-1082.3418914777053,-983.9969465608908,-239.3783535600203,-766.1047630016071,-374.63506049072953,-660.942578499912,-552.9811482001918,-494.7471954563095,-346.0470213873504,-223.50292445762517,-176.8238575549141,-181.09635132329547,-13.567518853247327,-110.21791821487157,-120.92020317776921,-2.7591324930491012,-79.14348968800009,-69.20485513007685,-154.75356786457832,-37.911263693057414,-23.042099647479688,-39.24820396594793,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-246545.36192149916
Alejandro Garnacho,Left Winger,14402.258604621144,13972.533349432704,7803.917614530146,12931.54170207165,109.78688168592086,10757.841168082045,-1036.5465043192407,7575.556178752572,-1298.6784831972352,1292.436395987741,3655.4170488561767,4347.52656146636,859.4378233276354,6225.828577874969,-3443.737664121393,-1199.0562217752356,-2710.7775325216126,-7361.881736210967,3592.9827263745665,4664.494133040419,4522.075258919185,3262.2450967891923,1696.7041127183948,3406.6189491667838,6443.215466907505,4077.420746577814,4733.772779002438,-4921.179654553046,-3668.091165784267,453.8439445511188,-92.08746697477595,6280.127173442806,823.0889738565703,-236.2110139261373,-736.4420169892727,2465.2477777475315,-705.6386828948398,-1018.50835301307,-3055.698091390832,2826.714284507555,-893.4341596262414,33.201591814366665,2550.264308049335,2362.3846994809446,628.0380008666491,1147.5699861390983,203.64700314419326,-288.6749852197498,1017.1906149937682,1486.4348886899218,-521.5340709982905,993.9887025495668,892.4737849486256,-147.37845421538532,508.9957467626509,482.2315358068985,524.4054726562882,-489.9105372142351,492.0650390032819,-188.1614056403579,-197.12763155509734,-75.59011869310451,259.5196908403348,-162.24396500698418,-203.1210212903464,-99.52959646803548,-144.32296148574173,-176.3777450922151,-46.10709726120126,-82.45756774431756,-137.03691382143816,333.53327797085757,-69.20485513007685,-56.554273804911105,-37.911263693057414,-23.042099647479688,2.4379130611193163,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,111554.41367110383
Alessio Zerbin,Left Winger,-1715.131563122765,-2696.6445686064667,-219.82866519803255,-5883.271889594919,-1754.03692367972,-2908.2306354831258,-3330.671662943939,-1863.5114287321467,-2873.7371367008545,-3638.7505627235178,-2948.7845892445143,-4020.4927681648983,-1723.931163263079,-4644.36675483721,-7209.217529028516,-5417.422688743536,-4861.720574631153,-7253.081783433681,-1418.884898313523,-1355.1468071422516,-1313.7707271135296,-3597.9995623905716,-1339.6856783772407,-2331.644187996704,-4019.9625492036002,960.6488669947729,-4823.349265359108,-2647.601167487861,-529.7854417273965,-3351.698860772791,-2652.996072368539,969.9038105703177,3410.19317586,-2343.533614826056,-1506.5832845236748,-1789.7904589488337,1761.355402966526,473.487160765273,-769.7518169598716,-645.0250626464792,-893.4341596262414,134.18976691639818,-932.7469483569843,-890.260730225553,-1059.5733143455739,1364.5974705643685,-147.69671867621673,-1062.0061382855013,-289.00405438740813,-673.3293795661865,550.916272181293,-385.24097058910803,1303.951172114413,236.8582299890119,986.1281963764362,2220.6464550120136,-203.97584513888881,-489.9105372142351,492.0650390032819,-547.7891685660747,228.17168821652217,-103.6719439582273,283.5920382753341,917.5989912276673,41.46181671699856,557.4716227704329,-34.00279197308052,-13.567518853247327,210.33618655348016,225.24351572329562,265.79643016372904,-27.55889373064289,36.263921999267836,-23.82117578502202,-37.911263693057414,-23.042099647479688,210.8684981964555,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-91419.18687243639
Alex Iwobi,Left Winger,5360.795827594074,14170.975943695075,4156.760214653702,9244.216425312878,7192.317342075357,19974.494244905065,3143.8593402857628,13263.59366209027,12246.825936933888,10606.90065133123,11687.554176275935,15668.964478026299,18573.968017092535,2034.909895383527,3145.8520994660707,10401.451562387589,5892.994635916548,-7245.310358235303,9161.724531583555,8913.652443757599,8641.495954942278,4937.046609828384,8022.51617750097,4772.872077062852,25.799617026028223,-717.6129143191723,5236.779202389888,-3215.9957892541574,-3607.739132629327,3811.675831601627,5029.729743812751,969.9038105703177,3151.482755659657,432.17438481209,111.3710524423539,4467.618712663469,2876.7516651910796,3954.810026248073,5935.6905880376125,2892.2188004915934,-893.4341596262414,2860.8704946712496,5650.612892787694,989.0455180493121,2878.1864211496136,2232.707408265448,5693.392656588099,3964.646356641884,3665.6129101528427,574.5344198706758,1623.3666153608765,2974.7972756742597,1578.269430224938,2158.041651010998,1224.6944211833288,1177.5975034889445,2408.389679512267,-51.479215819359204,492.0650390032819,131.50771696027923,1826.8414527151992,2030.546776191104,1069.955387818644,21.559091373381992,-182.73911812306764,16.411795162282463,-181.09635132329547,113.06265711039428,-174.3287391685419,-120.92020317776921,-2.7591324930491012,900.9638335017868,-48.111099704207916,74.37811827464522,-37.911263693057414,-23.042099647479688,21.6776593813042,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,281940.6574392739
Alieu Fadera,Left Winger,4181.474595807934,5042.616607626005,2333.181514715479,4989.610336745059,1973.610687051562,2176.8193379364716,-2769.8855130579027,2502.4416665865183,-983.6667524965117,4305.9395374224,1156.5299425478072,1147.9897589602913,2335.6486728080436,-3203.7384577307757,321.74220078572887,1964.7186284509894,1591.1085516974676,-7120.967555061264,4149.856906895465,3189.0919418191766,3091.7208505778335,878.8737128488051,684.574182353183,400.86206779543255,-2531.8661202455755,6714.689260071157,1715.7342386777393,-2363.4038566047134,1084.631445167244,1125.4103219612207,-732.3146183232168,7165.164400588223,1469.8650243574277,597.1155508066762,18.59844137778806,1714.3586771540556,580.3475959052337,-23.844677160841304,-922.1482352552689,250.20332246871163,-893.4341596262414,-118.28067083868062,1253.8968897456375,-817.9797206765197,-1059.5733143455739,1147.5699861390983,-279.4506143588705,97.99059131312602,598.3074968818738,-625.334618049384,-521.5340709982905,495.1183952440886,3224.178978888088,3310.7517036241898,628.2788591660973,3089.8539146145713,215.43466641847698,-114.11226173291291,492.0650390032819,104.86862341022615,151.1404338701319,-244.0810702838412,540.3637442486598,205.3621477537482,-223.50292445762517,-176.8238575549141,-181.09635132329547,-266.82787078053053,-238.4395601222123,-82.45756774431756,-2.7591324930491012,24.02570222671432,-69.20485513007685,-89.28737182480018,-37.911263693057414,-23.042099647479688,114.66976659553113,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,59809.09117280808
Amine Adli,Left Winger,-4466.881103957092,-3887.300134180694,-4596.417545049767,-2006.8530088997964,-3245.095967972233,-3226.046258821851,85.02579545283245,-2570.672845579536,-2558.725406000131,-5556.434380000119,-4198.228142398699,-5004.965630474458,-2092.983875633181,1118.1464335885235,-7209.217529028516,-5417.422688743536,-4861.720574631153,-7043.253303077488,-4203.2558009180175,-3774.80640074509,-3659.551956793346,-1955.40577075598,-3363.9455391076644,-2331.644187996704,2908.9864481322,-2395.8746956331174,-3314.3299951967592,-658.2199913058246,1522.1836855405577,-1560.8551876791864,-2012.7689210200983,2739.978264861147,-2152.080858447374,3762.0631787689053,1311.12532773496,-2040.0868258133257,-141.3793972988894,-521.1765150869556,-312.56256207367954,-2391.8121555541697,5795.867753472797,-673.7156338998541,-1362.2662736985708,-384.29366338231995,-497.03620927483297,-371.6224048377907,-1026.056023227242,-1062.0061382855013,-766.4407266439761,-337.3660489485696,-521.5340709982905,-629.7852388761071,-822.0153282421553,-1107.9701647263782,-325.9860400614732,-560.8174157161708,-560.8978790301803,73.7868760077482,-766.1047630016071,324.6411451981642,-434.73107806016026,-496.8174976699462,-366.3613424696467,-242.6578021733944,-162.3572149557889,-215.47098809835344,-107.54957164818799,257.78285821169897,274.44700750715054,-120.92020317776921,-137.03691382143816,-79.14348968800009,-48.111099704207916,58.01156926470067,-37.911263693057414,-23.042099647479688,-16.801833259065564,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-98787.10183773539
Ander Barrenetxea,Left Winger,-1322.0244858607184,-2101.3167858193538,2697.8972547031235,1775.0190698271524,482.55164275904906,-1636.9681421282262,-2005.177126849668,657.6727530715895,-353.6432910950635,-1447.1119144074032,-1699.3410360903295,-820.9559656588285,490.38511095753336,-1894.0763694522007,1074.838173767153,-144.4646050331606,1591.1085516974676,-6973.31047629209,-862.0107177926244,-528.9215800583552,-512.7722584423723,-1633.3285567099817,-1086.653195785938,-1602.975853118801,-1090.2727046924897,-2156.123012588268,1715.7342386777393,3604.7396719413964,315.1430224417612,-1336.9997285424859,-732.3146183232168,84.86658342490274,-1505.3048079465166,109.80259468696057,-650.3409120877657,-288.01225776188113,-1742.3010913153078,-1018.50835301307,-769.7518169598716,-841.5386105985945,-893.4341596262414,-118.28067083868062,285.5260471573336,-890.260730225553,-1059.5733143455739,713.5150172885587,71.89310746153951,-675.3405617526256,-5.244522763221519,-673.3293795661865,550.916272181293,-72.22430718174921,549.5759623104694,621.0949141934091,270.4295219557584,134.5485519658754,35.780293128513776,-302.011399473574,492.0650390032819,-74.94525805263225,-51.20222719468197,8.655357102263824,115.08560623033908,-231.1701111496215,-182.73911812306764,-176.8238575549141,-181.09635132329547,-212.55779536754122,-174.3287391685419,-120.92020317776921,-137.03691382143816,385.11787392821475,-69.20485513007685,-72.92082281485564,-37.911263693057414,282.78940476452345,-13.595208872368085,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-26088.267013699493
Andu Kelati,Left Winger,-8004.8447993155105,-8848.36499073997,-8608.290684913856,-8814.222750608304,-6599.978817630386,-8628.911855580172,-2820.8660721384504,-7889.756546214247,-6023.854443708094,-4186.6602248025465,-6161.639440212418,-5497.2020616292375,-5414.4582869641,2427.8085218670985,-1372.7237384224766,-4362.831072001461,-2710.7775325216126,-6802.3391219277855,-5873.878342480713,-5368.240767264032,-5204.334717802006,-3726.830448008971,-3870.010504290271,-3060.312522874607,-950.7636644776749,-3354.881427812515,-6332.3685355214575,762.7665631099159,-5554.092201876136,-2232.421565089288,-2012.7689210200983,-2570.2450980113417,-2410.791278647717,857.5848431700273,2401.694888098824,-2790.975926406802,-141.3793972988894,-1515.8401909391844,144.62669281251257,-2391.8121555541697,-893.4341596262414,-1784.585560022201,-2158.82938615024,-1323.946787519753,-1059.5733143455739,-1673.7873113894102,-982.1380579996904,-675.3405617526256,-1424.0421808841545,-961.2979486670009,-1057.7592425880823,-1133.5464315473253,-890.5948927697865,-531.6151384197826,-922.4016020787047,-734.6589076366822,-699.1102410902125,73.7868760077482,-388.65382240014037,-48.30616450257915,-426.59397372779506,-272.16289554896395,-382.4095740929795,-346.0470213873504,-223.50292445762517,-215.47098809835344,-181.09635132329547,131.15268224805737,274.44700750715054,-120.92020317776921,-2.7591324930491012,-130.7280856453573,-69.20485513007685,123.47776530447884,-37.911263693057414,-23.042099647479688,-39.24820396594793,-13.01252399024966,-6.397909770482905,-2.9361709241094935,,,,,-176749.3901530448
