Attribute,Weight
TI,7056
Dead,6889
Def 3rd,6724
90s,6561
90s_stats_possession,6400
MP_stats_playing_time,6241
onGA,6084
Starts,5929
onxGA,5776
Tkl+Int,5625
Unnamed: 0,5476
CrsPA,5329
Att,5184
Pass,5041
onxG,4900
Cmp,4761
Carries,4624
onG,4489
Blocks_stats_defense,4356
PKcon,4225
Int_stats_misc,4096
xG+/-90,3969
PrgDist,3844
G/Sh,3721
TotDist,3600
+/-90,3481
PrgP,3364
Off,3249
Sh/90,3136
Fld_stats_misc,3025
Mn/MP,2916
Mid 3rd,2809
G/SoT,2704
Att 3rd_stats_possession,2601
npxG/Sh,2500
1/3_stats_possession,2401
Crs,2304
PrgC,2209
Def 3rd_stats_possession,2116
+/-,2025
PPA,1936
PassLive,1849
Tkl%,1764
xG+/-,1681
1/3,1600
SCA,1521
Att 3rd,1444
SoT/90,1369
xA,1296
A-xAG,1225
GCA90,1156
PrgR,1089
GCA,1024
FK_stats_passing_types,961
KP,900
Ast,841
xAG,784
Won%,729
SCA90,676
Tkld,625
npxG+xAG,576
Succ,529
Sh_stats_defense,484
Gls,441
G+A,400
Sw,361
TB,324
npxG,289
xG,256
CPA,225
PassDead,196
G-xG,169
CK,144
FK,121
In,100
OG,81
Out,64
PKwon,49
Str,36
PK,25
SoT%,16
Cmp%,9
Succ%,4
Tkld%,1
