Player,Position,TI,Dead,Def 3rd,90s,90s_stats_possession,MP_stats_playing_time,onGA,Starts,onxGA,Tkl+Int,Unnamed: 0,CrsPA,Att,Pass,onxG,Cmp,Carries,onG,Blocks_stats_defense,PKcon,Int_stats_misc,xG+/-90,PrgDist,G/Sh,TotDist,+/-90,PrgP,Off,Sh/90,Fld_stats_misc,Mn/MP,Mid 3rd,G/SoT,Att 3rd_stats_possession,npxG/Sh,1/3_stats_possession,Crs,PrgC,Def 3rd_stats_possession,+/-,PPA,PassLive,Tkl%,xG+/-,1/3,SCA,Att 3rd,SoT/90,xA,A-xAG,GCA90,PrgR,GCA,FK_stats_passing_types,KP,Ast,xAG,Won%,SCA90,Tkld,npxG+xAG,Succ,Sh_stats_defense,Gls,G+A,Sw,TB,npxG,xG,CPA,PassDead,G-xG,CK,FK,In,OG,Out,PKwon,Str,PK,SoT%,Cmp%,Succ%,Tkld%,Total Score
Aaron Wan-Bissaka,Right-Back,9493.217683277719,7394.667207311724,6927.214409785981,12593.649717530017,12284.614874591085,9311.530569567894,13269.3209848894,10574.996714089975,13009.942463278696,13697.838832801861,-9846.796229506122,5927.842228459396,8862.424522480118,6949.741829588201,6520.298321411914,8042.594173310887,6987.049173455295,4847.754984924389,6072.993209434023,-2103.897963370144,15387.450231395513,-2026.2936508967553,5083.487884536419,2963.3724311616384,4501.192020581046,-1773.6302353727333,5387.764941867117,2572.588648917451,-1238.4789795478507,2729.368114419976,2805.9827586774873,6578.424012622784,2485.0026302761216,4757.775238229229,-133.70552565743006,6292.18201652938,1951.3550981078417,7102.9324746392,3914.1321882777884,-2349.70111793678,2301.2583058202054,4659.282779916945,1554.8686535068587,-1932.666453094703,1909.605483946126,3671.2049419411633,817.3750345369284,-261.1849689364509,954.0768491863976,-569.9383782100974,-115.58745945456819,1814.8762435442231,1005.695201773408,-298.5061809608877,1253.5581788128366,515.3551290356219,795.751242159153,-265.41818226398345,575.2825786911752,1793.6233903376656,497.360815665519,2437.5137390721425,414.86023415046856,479.6016526870897,399.27970990101346,-176.07135888059824,373.6210610449446,95.55860022594025,76.1470808501421,347.6494691553514,78.88172572225908,239.54625930648504,-44.78213246229393,-33.013399927648365,-28.974709893417554,312.018991065192,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,243421.50595190516
Achraf Hakimi,Right-Back,3717.343030038263,4532.698744096852,71.7846052827566,5271.058351426258,5141.7121550263755,2398.0132176243856,-2765.641195874454,4797.880168101602,-901.4519740459618,5984.36887791972,-9703.284673232829,3752.5917661428834,13827.523332173803,6289.014756690566,15218.273980980335,14472.662389727098,13265.085616849623,13326.886872475288,3038.7660341674728,-2103.897963370144,6063.7165946340665,11270.690685470076,5593.300412883006,2597.972731773729,7766.9979182382685,8837.539595976006,9077.107695913895,1135.8505438202778,6283.211331671058,3358.9687301859362,2267.3468723383917,3251.104617956245,740.0191656336983,11131.75553129641,477.9772384280563,6658.698260859087,2820.3243777018597,7102.9324746392,1540.3717438107556,7260.425510027352,3802.0362363764466,7863.54787963548,-872.6183243714304,6531.824071529997,3366.989530697764,5504.095419262169,3402.120590771255,3418.954060586163,3900.2107652122163,-19.310191471166743,2301.147972395828,4720.6342408421815,3500.341741237316,1144.9034535588482,3359.6963105087734,2991.6527301879178,3113.0284197968585,-297.13717041503656,2542.946683044101,719.6984136778092,2266.4549698847427,869.5320464856571,-297.9281141800216,1249.3824565798134,1551.860434199657,297.585395291152,170.88917848930703,705.6982931016586,602.4170921128216,750.9967651837319,-22.918339230115826,288.19424336746863,0.15685510494673727,597.5425386904354,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,274808.031525242
Adam Smith,Right-Back,-1743.4839148426765,-2622.2224139403274,-4498.501931052726,-1125.6881293080608,-1098.064933329003,-194.5557893544307,-2765.641195874454,-257.0968096382256,-3045.331253770652,-2947.0173856280217,-9645.880050723512,-3860.7848519649096,-3274.483678993337,-2961.164263876306,2521.702876017902,-3138.435377097058,-3409.379176805713,99.44112789588455,-2596.227291327549,-2103.897963370144,-827.738702102655,5682.526397522787,-2529.253248206558,-2517.6230596570153,-2435.9656930967417,1915.6978125174612,-1903.0790720824698,-3174.3637714712413,-4078.3008317427452,-1048.2355801757874,-829.8094741114078,-2571.704322710197,-81.1495236097951,-1650.9406422661134,15770.04634056521,-854.8847478999204,-971.5415696174906,-1751.2668900488243,-1091.6735158573533,1013.8432018506662,-1450.6865205703982,-1379.5245233987575,-1265.6400255517244,2106.0566600463067,-567.9473955316594,-1030.5575868388082,817.3750345369284,-1406.1171114545975,-1337.3606410559055,-156.96723815589942,-703.4420239587187,-961.1604145886477,-657.4024912025308,-659.3585895908218,-661.112850001652,-722.7936715405262,-684.7313991093813,-265.41818226398345,-674.4500281275743,-354.22656298204686,-387.1862614440933,-322.13403988007155,-179.13005612493993,-290.17915120563407,-369.1074396314155,-81.34000804624819,-234.57458662196805,-40.02799819088605,-40.80181054156449,-206.9530628836716,-73.81837170630328,-149.63761318138359,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-67154.57604073206
Adrià Altimira,Right-Back,-3423.738359421427,-4232.079674498693,1785.6420564085624,-1714.8621472704317,-1672.781244098577,-3651.314465326185,-474.93231290818903,-1701.375946135319,-282.10907101438414,-511.184768296819,-9521.503368619993,-6036.035314281422,-3814.423502269719,-4282.618409671573,-4403.699544870699,-3372.7293606911703,-3409.379176805713,-3292.211627124475,-2162.7662662894704,6097.010424460419,-827.738702102655,-4902.682963495789,-3254.3582294022126,-2517.6230596570153,-2646.18259351122,-2872.552714887413,-2078.7620603704117,-1737.6256663740683,-2159.502282962411,1470.1668828880547,786.098184905879,-908.0446253769284,-2647.301677495712,-1963.5609291195449,-1662.9124358711458,-854.8847478999204,-1998.5052636831479,-1314.0224769778106,-993.2793005426576,-1388.6884551403668,-1450.6865205703982,-1872.4883848939169,-98.13438381026165,-1680.2462585233898,-859.4242048819871,-1508.7029287486357,-733.4722992036675,-751.8701728727997,-1228.2445700919866,118.34685521356593,-703.4420239587187,-597.940664926403,-657.4024912025308,-803.6995530427953,-948.3135043238252,-722.7936715405262,-813.469020089254,-416.08337598148626,-1055.5741564481857,29.318071539330344,-616.5132814354743,-71.25696906623392,177.2641180403052,-290.17915120563407,-369.1074396314155,13.39134278810186,-31.842704066330512,-209.51124621191892,-186.9879247811977,-156.53465088012405,-124.71840418249073,-28.01765302892464,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-103359.48319857096
Ainsley Maitland-Niles,Right-Back,2142.104488245684,2565.095425636628,4642.071141618239,2914.3622795767724,2842.8469119480783,5854.77189359614,1357.6347934648227,1187.182326858868,1766.4866851669856,7405.271238029588,-9483.233620280447,-1685.5343896483976,3345.6480672649104,5628.2876837929325,6602.743588327255,3577.992152600846,2433.380073179942,5526.08553592846,3472.227059205551,-2103.897963370144,2820.678807934433,4199.177656166277,1251.2822238230426,-325.2248633295538,2063.74790331062,3055.2209632410413,2401.1541409721053,4009.326754014624,2752.622001915244,-1677.836195941748,-695.150502526634,4914.764315289513,-902.3182128532883,1978.9282439765054,1089.6600025135422,-121.85225924050486,55.42212444816677,-439.53365083578336,863.911513522223,2135.024641779815,1363.2720992225545,1578.2586455721987,526.0765533584411,2072.400634103465,646.539310094706,1041.4055614371114,4952.9679245118505,1374.4323775180444,1499.6572040059934,393.66094858303126,276.31558354819873,751.1612623905062,589.9207785294234,62.34622766904625,870.6239730499389,1134.429529323696,988.8576736289617,-312.99666449056315,380.28883862016477,566.2805598692585,956.014855648281,116.90083404414429,-60.33199806985822,94.71125074072778,399.27970990101346,297.585395291152,373.6210610449446,468.4217458722126,397.7565321773352,45.13899713406614,-73.81837170630328,-271.2575733338426,119.99415528425519,-33.013399927648365,142.4376225291456,-20.91747426135365,9.659255620344716,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,103121.28821750221
Aitor Ruibal,Right-Back,-7099.294956937444,-6825.738594287171,-2784.6444799269198,-4155.725935971685,-4053.748817286814,2398.0132176243856,-4598.208302247465,-4589.934219129505,-3712.3159185738896,-3555.975539960822,-9464.098746110676,-1685.5343896483976,-4870.8275043322055,-2300.4371909786723,-2466.2357723601976,-4257.839965380042,-3844.6563702143867,-2953.0463516224395,-2162.7662662894704,-2103.897963370144,-2043.8778721150177,899.2321151185951,-3049.3998142899018,-2517.6230596570153,-3441.195517175041,379.360744900924,-2430.128036946295,2572.588648917451,2906.12588581767,525.7659592391138,-3926.9658205612072,-2987.6192470435144,-2647.301677495712,-1355.6881491267618,-439.54690770017305,-488.36850357021257,-1366.5276057965893,-1095.4002704423037,-1977.2214536896142,212.9993161869886,-887.8947966118077,222.60802646051044,271.7683937711914,305.4592721042731,-1150.9010142323148,5.423987299151588,-216.5231879568022,393.061969645347,-573.5481443084714,1081.9461820066947,929.4873218861436,-338.4979865962281,174.14635528543863,-731.5290713168085,296.2226644055923,515.3551290356219,23.325516279917714,-975.1305421437999,965.2700588331967,-200.80870917349597,-26.81523002906612,54.181566340684874,-179.13005612493993,-290.17915120563407,15.086135134798983,-176.07135888059824,-234.57458662196805,-40.02799819088605,-40.80181054156449,-5.279414869481413,-22.918339230115826,-149.63761318138359,-14.822807417466818,-33.013399927648365,-4.487233833051392,-20.91747426135365,-3.7097141150599273,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-98438.90677506875
Alessandro Zanoli,Right-Back,-6469.199540220412,-7094.048137713564,-3355.930296968855,2746.026845873238,2678.642251728201,5854.77189359614,-933.0740895014419,2631.4614633559618,527.8008791038319,-1526.1150255181533,-9234.480256073406,7015.467459617652,-3262.7458567481985,1663.92524640713,-1724.2283701221334,-3646.0723415509688,-1986.3575829696651,-578.8894231081874,4.538858900922438,-2103.897963370144,-1233.1184254401091,-1665.1006579395942,-3145.850833166283,1136.3739342220874,-2785.533173389373,153.7944933549125,-2517.969531090266,-3174.3637714712413,-240.70373418207745,1155.3665750050745,-829.8094741114078,755.615071956341,740.0191656336983,415.82680970934894,-1357.0710538284025,5009.375161375403,1951.3550981078417,3823.599376606599,-1411.4547156301142,52.83053905425307,1363.2720992225545,345.84899183430025,-1566.186032336656,-889.329648866609,-1733.8546329329702,324.18754857237,-216.5231879568022,-15.842366968276671,-355.316002380633,-2084.165891742157,-834.0763716263077,803.0497980565412,-657.4024912025308,-1020.2109982207559,679.1568701684901,-722.7936715405262,216.4319477497266,265.8748692661583,-62.87875245031385,1716.91446343339,5.945772826845472,493.2164402649007,-297.9281141800216,94.71125074072778,-177.01065224830828,-176.07135888059824,-31.842704066330512,-107.82129739929918,-99.27625623741777,851.833589190827,-22.918339230115826,142.2502911845179,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-25890.0687492106
Allan Nyom,Right-Back,-5419.040512358693,-5752.500420581593,-6783.645199220467,-5670.7448393034965,-5531.590759265719,-4515.504134319124,-6888.917185213731,-4589.934219129505,-5570.344627668621,-5991.808157292025,-9023.996640205913,-1685.5343896483976,-5434.242972098865,-6264.799628364475,-5887.714349346828,-4817.542259521534,-4765.435048578888,-4988.038004634655,-5196.993441556021,6097.010424460419,-4881.535935477197,-2505.9813705422794,-3643.606984153324,2232.5730323858184,-3708.5818862574797,-155.2003717766108,-3132.8599900980626,-1737.6256663740683,3750.397247281018,-1992.6365038247284,-2580.3761047134685,-1323.9595497102455,-81.1495236097951,-2206.7100411166584,-745.3882897429163,-1587.9172365593358,-1603.5192275040488,-2297.8224063875914,-2419.995422605745,52.83053905425307,-1450.6865205703982,-1872.4883848939169,2861.087836841366,-434.97329863824535,-1199.4804824573694,-1349.3211481120265,-1250.4214104505327,3091.8305912952646,-1119.1284991280672,1081.9461820066947,602.9014527171713,-1013.0489502546827,-241.6280679585461,-659.3585895908218,-756.8464014423763,-103.71927125245216,-620.3625886194451,-578.6431902556342,-426.27617712810644,-354.22656298204686,-387.1862614440933,-384.853307583531,-297.9281141800216,94.71125074072778,15.086135134798983,-270.80270971494826,-234.57458662196805,-73.92464779509261,-70.03903338949112,-206.9530628836716,-124.71840418249073,117.9262991540261,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-137028.5727599705
Andoni Gorosabel,Right-Back,3507.3112244659187,2207.3493677347687,1214.3562393666273,-1209.8558461598277,-1180.167263438942,-2787.1247963332466,-5056.350078840718,-979.2363778867723,-3188.2565390856316,-105.2126654082853,-8832.647898508189,3752.5917661428834,-293.0768287280979,1003.1981735094963,-1971.5641708681555,180.72939048620867,-1534.3389590452737,-2613.881076120403,-862.3831911752347,-2103.897963370144,-422.35897876520085,885.0534370183647,-1213.3857763930657,-2517.6230596570153,-357.0217855983167,998.7728324796548,-936.8226364987896,-1737.6256663740683,-3464.285296133038,-2937.037427473669,651.4392133211051,-1323.9595497102455,-2647.301677495712,-139.94258914119558,2618.8669127272583,-854.8847478999204,55.42212444816677,-1314.0224769778106,-882.585808313625,533.3368704524597,50.091409985843285,345.84899183430025,248.64947017235104,339.1152980471149,355.0625007443783,-153.9577933374576,817.3750345369284,-751.8701728727997,81.14828147504369,668.9750419524967,-180.90463328836273,-260.66518309717566,-241.6280679585461,-370.6766626868745,9.022010083419014,515.3551290356219,216.4319477497266,-324.8912850472083,114.38828397787756,-430.9354898863223,-26.81523002906612,-384.853307583531,-416.72617223510326,-290.17915120563407,15.086135134798983,-270.80270971494826,-234.57458662196805,-141.71794700350577,-128.51347908534441,-106.11623887657652,-73.81837170630328,-76.66563708990822,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-37110.27694459438
Andrés García,Right-Back,-8044.438082012992,-8435.595854845536,-6783.645199220467,-8869.118079670656,-8651.479303443408,-11429.021486262634,-7347.0589618069835,-6756.352923875146,-6523.179863101817,-6803.752363069091,-8660.434030980237,-597.9091584901412,-6338.055284974547,-6264.799628364475,-5764.046448973818,-5416.293550928712,-4849.142201157479,-4648.872729132619,-6063.915491632178,-2103.897963370144,-4881.535935477197,-1971.9502001781123,-4837.188342748546,-2517.6230596570153,-4199.882007622762,1494.3025025426393,-3484.2259666739465,-3174.3637714712413,-240.70373418207745,-3881.43835112261,-1907.081246789599,-2987.6192470435144,-81.1495236097951,-1946.1931354054652,-1968.7538179138885,-854.8847478999204,-1445.5248130324094,-111.60034103252318,-2875.068668436212,373.16809331972416,-887.8947966118077,-2242.2112810152867,-988.2129423656345,-47.929000295565196,-1733.8546329329702,-1907.1573803401589,-1250.4214104505327,-1406.1171114545975,-1010.0124281641482,-156.96723815589942,-1225.9794146290744,-753.6062719245078,-1073.1769144465156,-1020.2109982207559,-852.5799528831008,-722.7936715405262,-684.7313991093813,-1966.3489218642135,-878.3071200199945,182.73592534788122,-583.7522785795627,-259.41477217661213,-535.524230290185,-290.17915120563407,-369.1074396314155,-270.80270971494826,-234.57458662196805,-243.4078958161255,-216.22514762912436,-106.11623887657652,-124.71840418249073,-3.6936609984328563,-44.78213246229393,-33.013399927648365,-28.974709893417554,-20.91747426135365,-17.078683850464568,-9.786401326601212,-5.023319509114325,-2.5146595190717593,,,,,-195875.70917729737
