Attribute,Weight
CPA,7056
Tkld,6889
PrgR,6724
PrgC,6561
Succ,6400
xAG,6241
SCA90,6084
GCA,5929
Ast,5776
Att 3rd_stats_possession,5625
xA,5476
KP,5329
GCA90,5184
SCA,5041
PKwon,4900
1/3_stats_possession,4761
Unnamed: 0,4624
npxG+xAG,4489
CK,4356
A-xAG,4225
Crs,4096
Fld_stats_misc,3969
In,3844
PPA,3721
PassLive,3600
G+A,3481
G-xG,3364
Sh/90,3249
SoT/90,3136
PassDead,3025
Starts,2916
Off,2809
Att 3rd,2704
xG+/-90,2601
90s_stats_possession,2500
90s,2401
MP_stats_playing_time,2304
+/-90,2209
CrsPA,2116
Mn/MP,2025
onG,1936
onxG,1849
npxG,1764
onxGA,1681
Won%,1600
Pass,1521
Gls,1444
onGA,1369
TB,1296
Tkl%,1225
xG,1156
Carries,1089
Out,1024
Att,961
PrgP,900
xG+/-,841
Blocks_stats_defense,784
Cmp,729
Def 3rd_stats_possession,676
+/-,625
TotDist,576
Tkl+Int,529
Mid 3rd,484
Def 3rd,441
1/3,400
PrgDist,361
FK_stats_passing_types,324
FK,289
Int_stats_misc,256
Dead,225
G/SoT,196
Sw,169
Sh_stats_defense,144
G/Sh,121
npxG/Sh,100
Str,81
PK,64
TI,49
PKcon,36
SoT%,25
Cmp%,16
Succ%,9
Tkld%,4
OG,1
