Player,Position,CPA,Tkld,PrgR,PrgC,Succ,xAG,SCA90,GCA,Ast,Att 3rd_stats_possession,xA,KP,GCA90,SCA,PKwon,1/3_stats_possession,Unnamed: 0,npxG+xAG,CK,A-xAG,Crs,Fld_stats_misc,In,PPA,PassLive,G+A,G-xG,Sh/90,SoT/90,PassDead,Starts,Off,Att 3rd,xG+/-90,90s_stats_possession,90s,MP_stats_playing_time,+/-90,CrsPA,Mn/MP,onG,onxG,npxG,onxGA,Won%,Pass,Gls,onGA,TB,Tkl%,xG,Carries,Out,Att,PrgP,xG+/-,Blocks_stats_defense,Cmp,Def 3rd_stats_possession,+/-,TotDist,Tkl+Int,Mid 3rd,Def 3rd,1/3,PrgDist,FK_stats_passing_types,FK,Int_stats_misc,Dead,G/SoT,Sw,Sh_stats_defense,G/Sh,npxG/Sh,Str,PK,TI,PKcon,SoT%,Cmp%,Succ%,Tkld%,OG,Total Score
Adama Traoré,Right Winger,5236.814432527172,3367.2061610710257,2833.4358216965747,7243.622851052657,7331.964183853872,4275.6022976726435,2978.82823619418,2804.8236746937346,5098.944390341083,1664.4166604162897,3927.937972361009,3509.4303019089593,1781.7632911342316,3113.676991279344,-2891.847371493192,3396.75426088652,-7971.780347728782,2387.927159892673,-3239.3010072797742,2723.623636545412,3382.5170541491707,2093.748715579496,-2687.104245413663,1835.9443711100785,3821.6474145415627,536.4482373067818,-4153.777239229599,300.27873614593136,-627.0264347183846,-2075.0099729514004,897.6745979167305,-1832.3951516700276,569.2940847684234,796.0588920495072,1154.2302862158786,1108.52276688173,2751.396375463788,534.3489121694608,4191.763855109777,-412.4901478347924,946.7534767263951,608.0275619039951,548.3838820824973,39.871988168830484,1213.6691574242384,-1050.1203449258142,-563.7920060819937,368.0437798758488,574.5077313385982,-329.4247649459645,194.7738405171982,353.06753519707024,-518.58939933877,82.71109998023076,298.51387829235625,306.9990357028838,-590.0363120904614,22.32557321193077,-87.08542173785227,198.2377523140878,39.91875578520241,-320.9918329208936,-487.81661864741307,59.11788071040559,133.94661523011825,-8.28375698797987,-236.64625397711595,-166.3790796831317,-302.56034066374974,-215.57434577253503,-123.98357064165506,-38.21149879770741,-99.66618795835663,-68.77496452015019,12.522629514806441,-22.590524882422216,-17.457270198460925,-45.428618019156154,-6.640002317169937,,,,,,62461.25376348402
Adnan Januzaj,Right Winger,-5689.742599925888,-4049.37920828963,-6698.090272748962,-5989.339574764523,-5227.395571437927,-5415.219199789547,11198.731382143675,-867.3876681856351,-3385.249581466119,-5176.821366526319,-2988.6854354414572,-4190.033651679048,17179.615584354582,-3843.3445862763265,-2891.847371493192,-5928.880164456472,-7955.717860805643,-4490.083268731058,447.1546015602382,898.1895589017512,-583.7813358840253,-2531.5980597153107,582.4585350654922,-2907.042798053683,-3629.9912228813714,-1846.013051908631,2360.3400511544664,2349.841846382273,-136.4513484879382,408.42336323614114,-3864.853066165816,-3067.625811947591,-2674.60805862901,-1960.6710051453288,-3192.0357528200407,-3065.6311370083667,-3384.8629606053196,2609.4322318873915,-1413.753565893113,-2368.0949303482507,-1777.6554748563804,-2125.6459525553046,-1669.2054145468624,-1694.342801587405,-2392.027559745728,-1452.5776344786009,-563.7920060819937,-1985.7044406007549,574.5077313385982,2148.1307414881576,-1010.4390517312147,-1049.296282814967,19.233398052399465,-839.65148756027,-438.2734406919301,-302.42499222615373,-780.0053592667081,-627.3089266293402,-756.8827558733705,145.90575825914505,-376.97551511137783,-622.0462849150235,-222.53339145980428,-484.25255329740946,-88.76142070304131,-142.37748626339905,-84.06903642568763,657.3337410431924,-357.14410582531036,-15.870503983254093,406.8928409194596,59.584032023543756,-99.66618795835663,105.15418511071105,-116.4035334444512,-22.590524882422216,-17.457270198460925,1.8435809762751005,-6.640002317169937,,,,,,-91383.4797216462
Alexander Bernhardsson,Right Winger,-4070.9934099328416,-3225.314167249557,-5239.183217476686,-6402.86965057131,-2563.288956679061,-5415.219199789547,-4842.534151163822,-4539.599011065005,-3385.249581466119,-5204.077294920513,-4584.829298780489,-3520.515047019221,-3628.2929199972427,-4166.926985232404,-2891.847371493192,-3530.859883653988,-7602.343148496559,-3552.1727557369118,-1493.085192566084,898.1895589017512,-2864.402910153113,-4164.0733921723,-1706.2354112699165,-2669.893439595495,-2936.8155356792377,-1250.3977296047779,2563.906216478969,-1533.5408888023728,-416.77996919105095,-419.38774882637273,-1666.7633750507944,-597.1644913924645,1380.2696206177818,-2184.1530390646612,-1614.7617870408762,-1550.8172202740575,-3023.9065290718427,-2320.7346986510215,-1413.753565893113,467.5320042962638,-1204.0956955757963,-1551.725546204733,-1045.508424869855,-679.9907547488523,95.90317510154895,157.251523732546,-188.75855710234148,106.51619982289289,-705.944924486174,2291.21145462569,-671.4729257863487,-1007.2253682746059,19.233398052399465,-774.4668523983971,-569.842604796267,-497.4406811634456,-20.129170561721434,-655.6910164282308,-141.76275513667008,-482.0781704001681,-494.39700200243306,-220.64034892285025,-310.96113385567384,-96.13081472039872,-230.48471629687012,-218.1091779267187,-145.09992344625897,-166.3790796831317,-193.39281034062859,-88.49008281571989,222.71122874519534,59.584032023543756,-99.66618795835663,148.63647251842636,-8.965064311736489,113.85624540740797,-17.457270198460925,-3.408885578772817,-6.640002317169937,,,,,,-116164.3377930084
Alexis Saelemaekers,Right Winger,-3666.3061124345804,-753.1190441293387,110.14265185499265,-2474.333930406834,-1421.528978925261,-569.8084510584515,886.4892535888548,1580.7532270672777,-1264.201088514318,138.08467034144468,-1658.5655493255986,-842.4406283799143,4070.633226612932,-769.3117961935886,4905.812505211665,-67.0528113837339,-7546.124444265569,-1363.7148920839068,-2657.2290690418777,-1231.4835316825197,-484.62387613319544,-899.1227272583199,-2360.1479673657477,-298.3998550136141,355.768978530896,1132.063559610635,7856.626514916023,-2144.814097118475,73.79511703939633,-1661.1044169201434,-201.37024764078024,3108.5274894402255,-1052.6569869302932,2668.110023352241,-528.1952772818968,-507.2787443015336,-1580.0808029379355,3175.506066060477,-12.374210642390548,663.0924825476096,373.19369744581076,170.03567284697994,-768.309762791185,-1138.0852275146501,4332.59681777626,-245.20576582024077,936.3417898366151,-1593.4130705213208,-65.71859657378796,1116.4434941280517,-520.821314255297,329.6948048968696,-411.02483986053613,444.48582512862504,35.375550083682555,664.5277987545857,-115.11369414984475,451.2104857284981,664.7279124958927,773.8896869184581,259.0842013448012,348.01806039939527,-134.1056490639347,990.6100532952315,-7.776680363710565,141.7900540145618,-114.5844799359733,-166.3790796831317,24.9422503056138,62.80070641858385,406.8928409194596,10.686266612918175,0.6644412530557143,351.55381375443113,12.522629514806441,-22.590524882422216,-17.457270198460925,159.41757762771263,-6.640002317169937,,,,,,444.29670237408754
Amad Diallo,Right Winger,13330.560382492402,3367.2061610710257,5167.687110132217,9724.803305893378,5809.6175468488045,3705.553974292515,5519.525572214931,12597.387255705386,7219.992883292884,4962.383996113724,3129.866040691494,5852.745418218353,10313.00577791848,5378.753783971888,4905.812505211665,5261.881145955119,-7465.812009649868,2492.139439114246,2193.370416273928,6374.491791832734,-980.4111748873449,461.27338312250544,4505.933871640479,2547.3924464846427,3994.941336342096,3514.5248488260477,3378.1708777769772,767.7229542700087,-206.5335036637164,1650.1400313299118,1264.0228797692341,1873.296829162662,3002.220692316498,-712.6930873823451,1574.8366770903222,1512.4731446775454,224.70135472944924,-484.27092297441544,-12.374210642390548,1640.8948738043387,516.5836422659569,925.1941022556261,756.2828786414996,1528.6790246576745,-12.267726413550298,-245.20576582024077,936.3417898366151,891.0989399817609,-385.831760529981,1116.4434941280517,307.7625491654869,1264.6040169048945,-411.02483986053613,1060.4806274083232,219.57237982975414,-261.7967236975512,-210.09821773796807,977.855929774577,992.7919128887996,-168.0862060705115,595.351184239894,615.6220177275109,1015.4550020823699,-96.13081472039872,12.469504721122124,158.8123149847575,-145.09992344625897,-166.3790796831317,243.27731095185618,189.88496937539898,179.37437882183906,-87.10926420833299,-99.66618795835663,61.67189770299574,-8.965064311736489,113.85624540740797,-17.457270198460925,143.66017796256887,-6.640002317169937,,,,,,151858.60324413038
Andreas Skov Olsen,Right Winger,-6903.8044924206715,-8169.704413489994,-7476.174035560843,-6609.634688474704,-7130.32886769426,-3135.0259062690316,9754.021132249522,-5763.669458691461,-3385.249581466119,-6130.778860323097,-3786.757367110973,-2850.996442359394,-3004.055664866688,-4166.926985232404,-2891.847371493192,-5395.986768722587,-7256.999679649046,-3864.8095934016274,-1687.1091719787162,-1535.7225446231298,-3062.7178296547727,-5252.390280476961,-71.45402103033886,-3144.192156511871,-3110.1094574797708,-3037.2436965163374,-1303.8509246865701,-2756.0873054345766,-5322.530831495519,-419.38774882637273,-3864.853066165816,-3067.625811947591,-3485.583594478368,1099.6800880762053,-3262.1368179657807,-3132.9561999743355,-4828.688686739228,1517.7184088392971,-1880.880017643354,-1096.9518217145028,-1921.0454196765268,-1974.614266673575,-1807.8047455861972,-2086.995206815232,1114.5124977020644,-1653.8062792549945,-1313.8589040412983,-1854.9406505742768,-1026.0580884423673,4301.872002400493,-1085.7648574967407,-1236.278125216572,-518.58939933877,-930.909976786892,-806.6671001840733,-26.152766231656692,-874.9898828548313,-617.8482300297101,-483.49608887928144,41.241770149259516,-440.4855018903273,-521.6948009169803,-399.3888762515434,-173.75516243580088,-291.2232715513682,-305.9996274258924,-206.13081046683027,-166.3790796831317,-247.97657550218918,-124.79987223195278,-48.14408327578153,10.686266612918175,-99.66618795835663,-155.7395393355808,-51.94045196482237,-22.590524882422216,-17.457270198460925,-13.913818688868652,-6.640002317169937,,,,,,-148919.23544160073
Ansgar Knauff,Right Winger,-1642.8696249432728,-341.0865236093023,1180.0078257213283,-613.4485892762933,861.9909765823388,5985.747267813029,1484.3003914760911,4028.8941223201914,5098.944390341083,-1688.0625320695306,3661.913995137837,831.3558832696525,5111.028651830525,686.808999108761,-2891.847371493192,465.84058435015135,-7088.343566956074,1658.4412053416718,-3239.3010072797742,898.1895589017512,-2071.143232146474,-2259.518837639145,-2687.104245413663,-298.3998550136141,355.768978530896,-59.16708499707141,-3543.0787432560933,-2144.814097118475,-2799.5732451675067,-2075.0099729514004,164.97803421172333,-1832.3951516700276,1380.2696206177818,574.195889812367,207.86590674838033,199.63441684114449,1307.5706493298799,179.7756528754644,-479.5006623926314,-510.2703869604654,803.3635319062489,1015.813113784664,-352.51176967317997,776.095247971006,1114.5124977020644,1364.6233923909062,-938.8254550616459,629.5713599288048,-65.71859657378796,47.103427521227204,-294.84389695871954,-151.78343928726318,-518.58939933877,-70.4727926501704,35.375550083682555,160.73726899991482,929.7160653195117,-166.88835878067246,692.0665791953015,41.241770149259516,-205.48255333043616,682.5230070595396,396.4608053112828,757.737010149025,-250.7309013817028,12.212434792459849,-206.13081046683027,-166.3790796831317,243.27731095185618,-70.33518810760344,-102.3151456799769,-136.00702961895857,301.6563288872928,-83.26906032272194,55.498017167892336,-22.590524882422216,-17.457270198460925,75.37811274694594,-6.640002317169937,,,,,,4366.579828513302
Anthony Elanga,Right Winger,6855.563622520219,3367.2061610710257,5362.2080508351855,7036.857813149263,481.4043173310722,4845.650621052772,1384.6652018282184,8925.175912826016,11462.089869196485,5398.478850420822,3661.913995137837,5852.745418218353,3862.554141569414,5540.544983449926,-2891.847371493192,3663.200958753463,-7056.218593109794,2700.563997557389,9178.23367512869,11242.315998882495,9133.649719697305,2909.986381807991,9737.234320407128,887.3469372773263,2781.883883738363,4705.755493433754,3785.303208425981,-1641.4126314463908,-206.5335036637164,4961.384479579967,4194.809134589263,638.0661688850989,-1863.6325227796517,-633.0495180990129,3046.9590451508748,2926.2994669629,3473.309238530742,870.4999399241791,454.75224110785024,858.6529607989555,2524.042869748002,1197.0511368427387,617.6835476021647,1790.4472948095588,213.0883184095726,-647.6630553730274,936.3417898366151,1152.6265200347168,-65.71859657378796,-1218.031299168537,232.4367433999612,348.3929891370301,1955.3954686606098,529.2258508390597,35.375550083682555,-245.5454162861102,-305.08274132609137,195.77167753848371,637.3892457964838,459.8977225888015,93.83025589730813,-120.28886492480693,42.74983572780447,-18.50646700499657,12.469504721122124,206.4051670851006,495.7243902697399,657.3337410431924,-84.22528001750739,353.27902174844706,92.70067897512644,-136.00702961895857,0.6644412530557143,90.6600893081393,12.522629514806441,-22.590524882422216,-17.457270198460925,-29.671218354012407,-6.640002317169937,,,,,,153860.65078348
Antony,Right Winger,-2452.244219939796,-2813.2816467295206,-2710.4109883380743,-199.91851346950642,-4466.222252935394,0.23987232167787584,9704.203537425587,356.68277944082143,-1264.201088514318,-1142.9439641856575,-2190.613503771942,1166.1151855995658,6567.582247135151,-283.93819775947213,4905.812505211665,3130.307563019578,-6887.562480416822,-2093.2008466349084,-1493.085192566084,-1839.96155756374,-3161.875289405603,-1987.4396155629802,-2033.1916893178322,650.1975788191382,529.0629003314293,-1250.3977296047779,1546.0753898564585,1199.2099248460809,-276.6156588394946,-833.2933048576297,-1666.7633750507944,-1832.3951516700276,569.2940847684234,1930.0253479282244,-1684.8628521866165,-1618.1422832400265,-4467.73225520575,1961.7686741663988,-12.374210642390548,2814.257743312414,-343.7560266549197,-690.8449366788766,-1392.0067524681922,-1334.4114301285638,-1310.3185445947381,-446.4344105966341,-563.7920060819937,-1070.357910415409,-385.831760529981,-1858.129226362763,-859.7874402001632,-263.9725447282261,-303.46028038230224,-243.21207582913345,-438.2734406919301,290.7477282914428,-305.08274132609137,-119.58487578252165,-196.4400885354879,302.9017404239733,-177.64694199658928,-187.18985425683582,-134.1056490639347,-329.0038578666052,-149.4999759575394,-123.61825988808135,-114.5844799359733,-166.3790796831317,-29.641514855946795,-88.49008281571989,38.52961657093108,10.686266612918175,-99.66618795835663,-10.798581309863089,-116.4035334444512,-22.590524882422216,-17.457270198460925,-3.408885578772817,-6.640002317169937,,,,,,-26891.788356325065
Anuar,Right Winger,-5689.742599925888,-6521.574331409849,-5725.485569234112,-5369.044461054342,-5988.56888994046,-5985.267523169676,-9724.65844390958,-2091.458115812092,-5506.2980744179185,-4740.726512219221,-5116.877253226832,-5194.311558668788,-2587.897494779651,-4166.926985232404,4905.812505211665,-4063.7532793878736,-6879.531236955252,-3760.597314180056,-3045.277027867142,-1535.7225446231298,-3161.875289405603,3726.2240480364862,-2687.104245413663,-3618.490873428247,-3110.1094574797708,-2441.6283742124842,528.2445632339484,-5093.308396054966,-3360.230486573731,-1661.1044169201434,531.326316064227,-3067.625811947591,569.2940847684234,-3417.244357878066,418.1691021856021,401.60960573905226,-858.1679398709815,-3546.3048253285247,-1413.753565893113,1249.773917301647,-1777.6554748563804,-1325.1780173821392,-1045.508424869855,841.5373155089768,771.9713095709177,358.48016850893936,-563.7920060819937,1152.6265200347168,-705.944924486174,-216.466307205807,-671.4729257863487,-577.1671307509145,-518.58939933877,-363.8036508785982,-648.7841032588691,-1123.1160165039244,644.7624945551418,-198.424014112773,842.4292460420506,-1110.0620990594812,-170.28810221867573,414.9190497314242,-222.53339145980428,602.4883147182207,-311.4694566362009,-263.27027845989096,-53.55359291540198,-166.3790796831317,352.44484127497736,-94.54171438509204,222.71122874519534,-136.00702961895857,502.31758731011746,163.13056832099815,119.96109864752115,-22.590524882422216,-17.457270198460925,7.096047531323018,-6.640002317169937,,,,,,-124114.03226072682
